"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
6.487845833E-2,1.495286323E2,9.073969213E1
5.669837083E-1,1.425551345E2,9.069354887E1
1.069085708E0,1.441933299E2,9.063826378E1
2.073288833E0,1.406899638E2,9.064934269E1
2.575388958E0,1.464126656E2,9.077685015E1
3.077486958E0,1.369324339E2,9.061895293E1
3.579584375E0,1.433621172E2,9.064825293E1
4.081678375E0,1.432272343E2,9.065051285E1
4.583773458E0,1.438526715E2,9.068351550E1
5.085864458E0,1.423036663E2,9.066998991E1
5.587955500E0,1.443911650E2,9.065480498E1
6.090044500E0,1.425526728E2,9.060979934E1
6.592131833E0,1.416039742E2,9.066356819E1
7.094216833E0,1.434744505E2,9.071326716E1
7.596302208E0,1.424385543E2,9.066715081E1
8.600466833E0,1.422328164E2,9.063427964E1
9.102566833E0,1.437238197E2,9.066960231E1
9.604849500E0,1.459734678E2,9.070701145E1
1.010711150E1,1.438719385E2,9.069733135E1
1.060938121E1,1.400896699E2,9.064684786E1
1.111169221E1,1.393329615E2,9.061637416E1
1.161399458E1,1.431184852E2,9.067811135E1
1.211556758E1,-1.530588601E2,9.318411835E1
1.261763950E1,9.368147754E1,9.021878825E1
1.311971150E1,9.290428574E1,9.044026285E1
1.362178196E1,9.315769499E1,9.112314002E1
1.412385196E1,9.204829461E1,9.098008855E1
1.462592037E1,9.110072894E1,9.084276948E1
1.512798837E1,9.049250173E1,9.039589416E1
1.563005412E1,9.084448679E1,9.082162780E1
1.663418496E1,9.188806137E1,9.276603592E1
1.713624896E1,8.922176437E1,8.857146000E1
1.763831075E1,9.062806272E1,9.153462597E1
1.814037375E1,9.031906415E1,9.160583539E1
1.864243508E1,9.050804548E1,9.312706464E1
1.914449608E1,9.047068576E1,9.300181964E1
1.964655558E1,9.043116586E1,9.283313542E1
2.014861558E1,9.040736773E1,9.270676869E1
2.065067521E1,9.037059001E1,9.250822415E1
2.115273521E1,9.056563017E1,9.439134504E1
2.215685087E1,9.037237187E1,9.269623574E1
2.265890808E1,9.040197625E1,9.289472630E1
2.316096608E1,9.037031627E1,9.271677661E1
2.366302025E1,9.040034876E1,9.294230883E1
2.416507725E1,9.029646316E1,9.173932104E1
2.466713158E1,9.119303730E1,9.497022976E1
2.516918758E1,9.036033292E1,9.051159558E1
2.567124121E1,9.137179789E1,9.154762353E1
2.617329521E1,9.097117768E1,9.066905883E1
2.667534837E1,9.219490681E1,9.084906435E1
2.717740238E1,9.372968223E1,9.084714747E1
2.818150408E1,1.399293956E2,9.272706624E1
2.868355596E1,1.410133097E2,9.065896833E1
2.918560696E1,1.423995947E2,9.067471606E1
2.968765671E1,1.396241513E2,9.063295783E1
3.018970671E1,1.371610795E2,9.061582839E1
3.069175487E1,1.390678873E2,9.063641154E1
3.119380387E1,1.409061411E2,9.064727541E1
3.169585075E1,1.437881328E2,9.071433981E1
3.219789875E1,-4.740531926E1,8.939290488E1
3.269994546E1,2.377851761E1,8.959290549E1
3.320199246E1,1.447824070E2,9.057008416E1
3.370403758E1,-7.469357990E0,8.927955777E1
3.470812638E1,-1.654290663E2,9.028232374E1
3.521017137E1,-4.915071990E1,8.967553996E1
3.571221458E1,-1.151329550E2,9.006534820E1
3.621425758E1,1.460193500E2,9.089921434E1
3.671630008E1,1.227352263E2,9.007747321E1
3.721834308E1,1.151148349E2,9.002582364E1
3.772038471E1,1.350000000E2,9.005423045E1
3.822242671E1,1.238708107E2,9.004221857E1
3.872446725E1,1.679977051E2,9.010936925E1
3.922650825E1,1.339190758E2,9.008963770E1
3.972854746E1,1.299993554E2,9.006289325E1
4.023058746E1,-1.703257420E2,9.120877063E1
4.073262571E1,7.135969084E1,8.987817882E1
4.123466571E1,1.022517830E2,9.057908030E1
4.173670346E1,4.752830119E1,8.984120983E1
4.223874246E1,4.519194494E1,8.897517089E1
4.274077821E1,-1.484793605E2,9.155720013E1
4.324281621E1,3.854364870E1,8.979200412E1
4.374485371E1,1.432158744E2,9.268415305E1
4.424689171E1,6.077844178E1,8.969152104E1
4.525096496E1,5.084695128E1,8.956581884E1
