"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.879249999E-3,7.552590815E-2,8.451947400E-2,1.373662984E-1,1.780932459E-1
1.879525000E-2,1.317082402E-1,6.612978891E-2,1.384053487E-1,2.021787577E-1
2.871125000E-2,1.071364128E-1,7.772412320E-2,1.521696943E-1,2.016801084E-1
3.862825000E-2,1.055288670E-1,7.047829924E-2,1.476737702E-1,1.947076651E-1
4.854425000E-2,1.058748029E-1,7.732841288E-2,1.585951996E-1,2.057707333E-1
5.846125000E-2,1.060540566E-1,7.489527681E-2,1.373265374E-1,1.889850345E-1
6.837725000E-2,1.113956891E-1,8.518651340E-2,1.488280106E-1,2.044884308E-1
7.829325000E-2,1.075854789E-1,8.539678476E-2,1.477994853E-1,2.017719851E-1
8.821025000E-2,1.086990629E-1,7.397044829E-2,1.470457792E-1,1.972551005E-1
9.812625000E-2,1.097006361E-1,6.618778598E-2,1.498822635E-1,1.971794754E-1
1.080432500E-1,9.591990000E-2,8.240245303E-2,1.534648526E-1,1.988523383E-1
1.179592500E-1,8.899180826E-2,7.499109806E-2,1.390906423E-1,1.813543865E-1
1.278752500E-1,9.545630716E-2,7.688029689E-2,1.429737782E-1,1.883188464E-1
1.377922500E-1,1.087502078E-1,7.950481050E-2,1.540437269E-1,2.046389317E-1
1.477082500E-1,1.224406775E-1,7.610927755E-2,1.565831727E-1,2.128441486E-1
1.576252500E-1,1.173164701E-1,7.432924349E-2,1.490946436E-1,2.037577074E-1
1.675412500E-1,1.055981017E-1,7.068613578E-2,1.448998511E-1,1.927263753E-1
1.774572500E-1,9.360140590E-2,6.892104867E-2,1.405582935E-1,1.823950876E-1
1.873742500E-1,9.042645916E-2,7.589841234E-2,1.430959851E-1,1.855100387E-1
1.972902500E-1,9.955356080E-2,7.154403652E-2,1.508768749E-1,1.944049691E-1
2.072072500E-1,1.108326571E-1,6.974231752E-2,1.546167541E-1,2.026183836E-1
2.171232500E-1,1.184929664E-1,8.173729571E-2,1.492256212E-1,2.073399494E-1
2.270392500E-1,1.190526911E-1,7.783861899E-2,1.444250572E-1,2.027091291E-1
2.369562500E-1,1.067233618E-1,7.645911464E-2,1.387257761E-1,1.909992490E-1
2.468722500E-1,9.518413754E-2,7.105621428E-2,1.486023080E-1,1.902410355E-1
2.567892500E-1,1.026906651E-1,6.967306912E-2,1.471024972E-1,1.924548101E-1
2.667052500E-1,9.564497123E-2,7.879847598E-2,1.450004232E-1,1.907414036E-1
2.766212500E-1,9.616729204E-2,7.281622619E-2,1.568211544E-1,1.978464690E-1
2.865382500E-1,1.030563353E-1,6.803155926E-2,1.524743342E-1,1.962073493E-1
2.964542500E-1,1.089578022E-1,6.776842999E-2,1.491765046E-1,1.967688804E-1
3.063712500E-1,1.118540377E-1,6.825918954E-2,1.511201191E-1,2.000198318E-1
3.162872500E-1,1.130224393E-1,7.079340021E-2,1.496168000E-1,2.004269546E-1
3.262032500E-1,1.013066474E-1,6.827578101E-2,1.446764874E-1,1.893565555E-1
3.361202500E-1,1.072441660E-1,6.941216453E-2,1.476655841E-1,1.952549217E-1
3.460362500E-1,9.644695340E-2,6.671293447E-2,1.484105194E-1,1.891515601E-1
3.559522500E-1,9.357215155E-2,6.570626778E-2,1.511014080E-1,1.894853469E-1
3.658692500E-1,9.914283045E-2,6.800917539E-2,1.491496074E-1,1.915728430E-1
3.757852500E-1,1.027336239E-1,6.657436003E-2,1.446560222E-1,1.895038460E-1
3.857022500E-1,1.090578261E-1,7.233200365E-2,1.591705656E-1,2.060601785E-1
3.956182500E-1,1.064635627E-1,7.397779386E-2,1.650043327E-1,2.098419261E-1
