"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.059962500E-2,-2.415975952E-1,1.009500732E0,9.957443390E0,1.001140050E1
4.051762500E-2,-2.377056885E-1,9.885443115E-1,1.007809250E1,1.012924836E1
5.043462500E-2,-1.422042847E-1,9.636959839E-1,1.001058289E1,1.005786765E1
6.035162500E-2,-1.939965820E-1,1.034349060E0,9.616153107E0,9.673567761E0
7.026962500E-2,-4.933740234E-1,1.209185486E0,9.221124573E0,9.313145862E0
8.018662500E-2,-5.183720398E-1,1.165027313E0,9.466763763E0,9.552257030E0
9.010362500E-2,-4.340972900E-1,1.039588165E0,9.882449341E0,9.946456102E0
1.000216250E-1,-3.463796997E-1,9.422904968E-1,1.010009674E1,1.014986918E1
1.099386250E-1,-2.579136658E-1,8.912466431E-1,1.008288254E1,1.012548074E1
1.198556250E-1,-1.224453735E-1,8.786727905E-1,9.894424438E0,9.934117661E0
1.297736250E-1,8.202941895E-2,8.267308044E-1,9.639953613E0,9.675686969E0
1.396906250E-1,-1.815724182E-1,8.671467590E-1,9.875413971E0,9.915075045E0
1.496076250E-1,-4.311035156E-1,8.620573425E-1,1.020398071E1,1.024940074E1
1.595256250E-1,-5.110372925E-1,8.666976929E-1,1.022388931E1,1.027327780E1
1.694426250E-1,-4.537065125E-1,9.169931030E-1,9.890532532E0,9.943307282E0
1.793596250E-1,-3.110531616E-1,8.939410400E-1,9.677375793E0,9.723553203E0
1.892776250E-1,-3.423381042E-1,8.416996765E-1,9.775272217E0,9.817413134E0
1.991946250E-1,-3.611988831E-1,7.313790894E-1,1.027223877E1,1.030457517E1
2.091126250E-1,-2.064207458E-1,6.141728210E-1,1.062834824E1,1.064807983E1
2.190296250E-1,6.586303711E-2,5.270539856E-1,1.051114197E1,1.052455364E1
2.289466250E-1,3.204835510E-1,5.357359314E-1,1.011776001E1,1.013700105E1
2.388646250E-1,2.489323425E-1,6.221063232E-1,9.721683655E0,9.744748158E0
2.487816250E-1,1.691482544E-2,7.045848083E-1,9.739945679E0,9.765411803E0
2.586986250E-1,-1.372645569E-1,7.213499451E-1,1.003079086E1,1.005763156E1
2.686166250E-1,-2.564167786E-1,7.497908020E-1,1.013078293E1,1.016172714E1
2.785336250E-1,-3.088078308E-1,7.860154724E-1,9.967921600E0,1.000363152E1
2.884506250E-1,-3.384461975E-1,8.072712708E-1,9.895172882E0,9.933814932E0
2.983686250E-1,-3.426374817E-1,8.150550842E-1,9.917626190E0,9.956958596E0
3.082856250E-1,-3.083587646E-1,8.155041504E-1,9.847272491E0,9.885793224E0
3.182026250E-1,5.822891235E-2,7.436535645E-1,9.604028320E0,9.632952362E0
3.281206250E-1,-2.993774414E-4,6.735992432E-1,9.937235413E0,9.960039341E0
3.380376250E-1,-3.282673645E-1,7.725434875E-1,1.030382309E1,1.033795691E1
3.479546250E-1,-6.735992432E-2,7.632627869E-1,9.715396729E0,9.745565198E0
3.578726250E-1,-1.233435059E-1,7.610174561E-1,9.806557159E0,9.836814754E0
3.677896250E-1,-3.450325012E-1,8.128097534E-1,1.002061203E1,1.005944196E1
3.777076250E-1,-4.427792358E-1,8.470884705E-1,9.970017242E0,1.001573043E1
3.876246250E-1,-4.049079895E-1,8.190966797E-1,9.996212769E0,1.003788521E1
3.975410417E-1,-1.841171265E-2,6.900650024E-1,9.948162689E0,9.972084516E0
4.074590417E-1,8.173004150E-2,6.854246521E-1,9.942175140E0,9.966109235E0
4.173760417E-1,-9.984237671E-2,7.455995178E-1,9.877958679E0,9.906561200E0
4.272930417E-1,-3.252735901E-1,8.126600647E-1,9.900112610E0,9.938734777E0
4.372110417E-1,-5.137316895E-1,8.494834900E-1,1.003243744E1,1.008143558E1
4.471280417E-1,-6.029461670E-1,8.521778870E-1,1.000444565E1,1.005876155E1
4.570450417E-1,-7.467970276E-1,4.674778748E-1,9.751471710E0,9.791192056E0
4.669630417E-1,-7.646099854E-1,5.448669434E-1,9.575737152E0,9.621655285E0
4.768800417E-1,-4.628375244E-1,7.909552002E-1,9.793384552E0,9.836168445E0
4.867980417E-1,-1.389111328E-1,9.529183960E-1,1.002390518E1,1.007005585E1
4.967150417E-1,5.583389282E-2,9.042695618E-1,1.000654129E1,1.004747179E1
5.066320417E-1,-6.646179199E-2,8.421487427E-1,9.934391327E0,9.970243864E0
5.165500417E-1,-2.630030823E-1,8.044271851E-1,9.954000549E0,9.989914947E0
5.264670417E-1,-3.409909058E-1,6.987469482E-1,9.873917084E0,9.904481848E0
5.363840417E-1,-2.761756897E-1,7.038363647E-1,9.832153931E0,9.861181955E0
5.463020417E-1,-1.345701599E-1,6.810836792E-1,9.896071014E0,9.920393421E0
5.562190417E-1,-7.649093628E-2,6.259982300E-1,9.923464050E0,9.943483464E0
5.661360417E-1,-1.559756470E-1,4.866380310E-1,9.868228912E0,9.881451657E0
5.760540417E-1,-3.321592712E-1,5.559439087E-1,9.816885681E0,9.838223818E0
5.859710417E-1,-5.909710693E-1,7.557783508E-1,9.921817474E0,9.968094588E0
5.958890417E-1,-7.631130981E-1,8.268804932E-1,1.002255798E1,1.008552138E1
6.058060417E-1,-7.200027466E-1,8.473878479E-1,1.008812164E1,1.014922009E1
6.157230417E-1,-5.313949585E-1,7.770341492E-1,1.004620880E1,1.009021674E1
6.256410417E-1,-7.030879211E-1,7.580236816E-1,1.006477020E1,1.011773353E1
6.355580417E-1,-9.583071899E-1,8.641529846E-1,1.009575577E1,1.017788768E1
6.454750417E-1,-7.393125916E-1,9.874964905E-1,1.007345215E1,1.014870290E1
6.553930417E-1,-3.923341370E-1,9.632469177E-1,9.982291718E0,1.003632994E1
6.653100417E-1,-7.879614258E-1,1.156045990E0,9.953701172E0,1.005154180E1
6.752270417E-1,-1.311871948E0,1.249601440E0,9.889484711E0,1.005407478E1
6.851450417E-1,-1.424138489E0,8.494834900E-1,1.007734406E1,1.021286717E1
6.950620417E-1,-1.004710693E0,7.488926697E-1,1.000968475E1,1.008781803E1
7.049790417E-1,-4.860392761E-1,4.638853455E-1,9.617350616E0,9.640791289E0
7.148970417E-1,-2.691403198E-1,5.197192383E-1,9.266929321E0,9.285393026E0
7.248140417E-1,-3.141966248E-1,6.432124329E-1,9.199419708E0,9.227229526E0
7.347320417E-1,-6.735992432E-2,8.372090149E-1,9.764943695E0,9.800999013E0
7.446490417E-1,-3.098556519E-2,9.160949707E-1,1.031265472E1,1.035331046E1
7.545660417E-1,-5.926176453E-1,9.963281250E-1,1.014260834E1,1.020864189E1
7.644840417E-1,-8.231382751E-1,7.405101013E-1,1.002360580E1,1.008457164E1
7.744010417E-1,-6.207591248E-1,4.281097412E-1,1.004276596E1,1.007103609E1
7.843180417E-1,-5.483097839E-1,3.749702454E-1,9.846374359E0,9.868755460E0
7.942360417E-1,-5.292993164E-1,4.433779907E-1,9.641600189E0,9.666291741E0
8.041530417E-1,-4.541555786E-1,4.390370178E-1,9.272617493E0,9.294108131E0
8.140700417E-1,-2.116598511E-1,5.099894714E-1,8.715925140E0,8.733397976E0
8.239880417E-1,2.441423035E-1,5.496569824E-1,9.090745697E0,9.110619386E0
8.339050417E-1,2.480342102E-1,6.224057007E-1,1.016700760E1,1.018906047E1
8.438230417E-1,-5.568420410E-2,6.457571411E-1,1.128383514E1,1.130243507E1
8.537400417E-1,-3.097059631E-1,6.460565186E-1,1.106648712E1,1.108965482E1
8.636570417E-1,-4.691244507E-1,5.316943359E-1,1.039453445E1,1.041869105E1
8.735750417E-1,-5.565426636E-1,3.180885315E-1,1.046713348E1,1.048674418E1
8.834920417E-1,-4.528083801E-1,3.941304016E-1,1.033525772E1,1.035267726E1
8.934090417E-1,-4.459226990E-1,3.944297791E-1,1.004605911E1,1.006368350E1
9.033270417E-1,-4.442761230E-1,3.805087280E-1,9.826615448E0,9.844010328E0
9.132440417E-1,-2.718347168E-1,3.992198181E-1,9.889634399E0,9.901421066E0
9.231610417E-1,-2.303709412E-1,4.456233215E-1,9.950108643E0,9.962746254E0
9.330790417E-1,-8.098159790E-2,4.510121155E-1,9.752968597E0,9.763727076E0
9.429960417E-1,4.951702881E-1,1.290316772E-1,1.026385620E1,1.027660386E1
9.529140417E-1,-9.145980835E-2,3.643423462E-1,1.056173676E1,1.056841490E1
9.628310417E-1,-7.940986633E-1,6.381230164E-1,1.020038818E1,1.025113227E1
