"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.042791668E-3,-1.299298096E-1,7.768844604E-2,9.949958954E0,9.951110513E0
1.295979167E-2,-1.293310547E-1,7.948471069E-2,9.962682495E0,9.963838961E0
2.287679167E-2,-1.121168518E-1,8.277786255E-2,9.966424713E0,9.967399055E0
3.279379167E-2,-8.337661743E-2,8.113128662E-2,9.980345764E0,9.981023771E0
4.271079167E-2,-8.816665649E-2,8.637039185E-2,9.973909149E0,9.974672773E0
5.262779167E-2,-1.176553345E-1,9.011260986E-2,9.944121094E0,9.945225356E0
6.254479167E-2,-1.287322998E-1,7.723937988E-2,9.962981873E0,9.964112892E0
7.246179167E-2,-1.293310547E-1,7.244934082E-2,9.960437164E0,9.961540239E0
8.237879167E-2,-1.219963074E-1,8.562194824E-2,9.975406036E0,9.976519424E0
9.229570833E-2,-1.157093811E-1,9.011260986E-2,9.967173157E0,9.968252087E0
1.022127083E-1,-1.002914429E-1,9.101074219E-2,9.965825958E0,9.966746127E0
1.121297083E-1,-1.110690308E-1,8.622070312E-2,9.963730316E0,9.964722382E0
1.220467083E-1,-1.193019104E-1,6.885681152E-2,9.952204285E0,9.953157506E0
1.319637083E-1,-1.254391479E-1,7.559280396E-2,9.954299927E0,9.955377255E0
1.418807083E-1,-1.170565796E-1,8.173004150E-2,9.966275024E0,9.967297523E0
1.517977083E-1,-1.118174744E-1,8.547225952E-2,9.977950745E0,9.978943317E0
1.617147083E-1,-1.160087585E-1,8.068222046E-2,9.950707397E0,9.951710675E0
1.716317083E-1,-1.194515991E-1,7.619155884E-2,9.956694946E0,9.957702953E0
1.815487083E-1,-1.106199646E-1,8.337661743E-2,9.968220978E0,9.969183412E0
1.914657083E-1,-1.097218323E-1,8.756790161E-2,9.953252106E0,9.954242035E0
2.013827083E-1,-1.194515991E-1,8.547225952E-2,9.981692963E0,9.982773592E0
2.112997083E-1,-1.142124939E-1,8.337661743E-2,9.942025452E0,9.943031039E0
2.212167083E-1,-1.124162292E-1,8.801696777E-2,9.973909149E0,9.974930983E0
2.311337083E-1,-1.158590698E-1,8.427474976E-2,9.962083740E0,9.963113871E0
2.410507083E-1,-1.145118713E-1,8.562194824E-2,9.955048370E0,9.956075137E0
2.509677083E-1,-1.230441284E-1,8.262817383E-2,9.961634674E0,9.962737207E0
2.608847083E-1,-1.154100037E-1,7.843688965E-2,9.957443390E0,9.958421094E0
2.708017083E-1,-1.172062683E-1,7.484436035E-2,9.951455841E0,9.952427460E0
2.807187083E-1,-1.118174744E-1,8.831634521E-2,9.954748993E0,9.955768701E0
2.906357083E-1,-1.041833496E-1,9.879455566E-2,9.967622223E0,9.968656244E0
3.005527083E-1,-1.040336609E-1,9.175918579E-2,9.975555725E0,9.976520174E0
3.104697083E-1,-1.215472412E-1,7.559280396E-2,9.969568176E0,9.970595650E0
3.203867083E-1,-1.266366577E-1,6.930587769E-2,9.950408020E0,9.951455166E0
3.303037083E-1,-1.233435059E-1,8.113128662E-2,9.959089966E0,9.960184178E0
3.402207083E-1,-1.080752563E-1,8.652008057E-2,9.972262573E0,9.973223492E0
3.501377083E-1,-9.535171509E-2,7.828720093E-2,9.938881989E0,9.939647681E0
3.600547083E-1,-9.879455566E-2,8.262817383E-2,9.973460083E0,9.974291644E0
3.699717083E-1,-1.097218323E-1,8.023315430E-2,9.967622223E0,9.968548993E0
3.798887083E-1,-1.236428833E-1,7.723937988E-2,9.965376892E0,9.966443201E0
3.898057083E-1,-1.386117554E-1,8.891510010E-2,9.964029694E0,9.965390451E0
3.997227083E-1,-1.178050232E-1,7.484436035E-2,9.954898682E0,9.955877031E0
4.096397083E-1,-1.088237000E-1,7.753875732E-2,9.953850861E0,9.954747702E0
4.195567083E-1,-1.022373962E-1,8.068222046E-2,9.965526581E0,9.966377584E0
4.294737083E-1,-1.079255676E-1,9.684860229E-2,9.961634674E0,9.962690046E0
4.393907083E-1,-1.095721436E-1,7.274871826E-2,9.959838409E0,9.960706781E0
4.493077083E-1,-1.284329224E-1,6.855743408E-2,9.967322845E0,9.968386020E0
4.592247083E-1,-1.311273193E-1,7.873626709E-2,9.950557709E0,9.951733140E0
4.691417083E-1,-1.121168518E-1,8.487350464E-2,9.964179382E0,9.965171572E0
4.790587083E-1,-9.984237671E-2,8.996292114E-2,9.962083740E0,9.962990228E0
4.889757083E-1,-1.010398865E-1,8.487350464E-2,9.961185608E0,9.962059591E0
4.988927083E-1,-1.197509766E-1,7.484436035E-2,9.964478760E0,9.965479363E0
5.088097083E-1,-1.242416382E-1,8.412506104E-2,9.952503662E0,9.953634620E0
5.187267083E-1,-1.261875916E-1,8.592132568E-2,9.960137787E0,9.961307671E0
5.286437083E-1,-1.191522217E-1,8.577163696E-2,9.973460083E0,9.974540594E0
5.385607083E-1,-1.050814819E-1,7.723937988E-2,9.970017242E0,9.970870165E0
5.484777083E-1,-9.669891357E-2,8.756790161E-2,9.979597321E0,9.980449965E0
5.583947083E-1,-1.161584473E-1,8.487350464E-2,9.979747009E0,9.980783870E0
5.683117083E-1,-1.330732727E-1,7.783813477E-2,9.954599304E0,9.955793016E0
5.782287083E-1,-1.366658020E-1,7.978408813E-2,9.952503662E0,9.953761710E0
5.881457083E-1,-1.282832336E-1,7.559280396E-2,9.961335297E0,9.962448080E0
5.980627083E-1,-1.094224548E-1,8.217910767E-2,9.970615997E0,9.971555046E0
6.079797083E-1,-1.010398865E-1,8.741821289E-2,9.981243896E0,9.982138084E0
6.178967083E-1,-1.005908203E-1,8.023315430E-2,9.973310394E0,9.974140369E0
6.278137083E-1,-1.179547119E-1,7.828720093E-2,9.976453857E0,9.977458282E0
6.377307083E-1,-1.272354126E-1,7.499404907E-2,9.952353973E0,9.953449782E0
