"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
6.487845833E-2,4.352300191E-1,-7.396921354E-1
5.669837083E-1,5.311299404E-1,-6.935488747E-1
1.069085708E0,4.604524579E-1,-6.382637862E-1
2.073288833E0,5.316783029E-1,-6.493426901E-1
2.575388958E0,5.159081866E-1,-7.768501572E-1
3.077486958E0,5.785519085E-1,-6.189529386E-1
3.579584375E0,4.821096494E-1,-6.482529340E-1
4.081678375E0,4.861729317E-1,-6.505128576E-1
4.583773458E0,4.993044878E-1,-6.835155032E-1
5.085864458E0,5.177680755E-1,-6.699899099E-1
5.587955500E0,4.689570103E-1,-6.548049845E-1
6.090044500E0,4.670327442E-1,-6.097993490E-1
6.592131833E0,5.258714757E-1,-6.635681912E-1
7.094216833E0,5.282946381E-1,-7.132671691E-1
7.596302208E0,5.130699696E-1,-6.671508120E-1
8.600466833E0,4.914241401E-1,-6.342796446E-1
9.102566833E0,4.914536678E-1,-6.696023169E-1
9.604849500E0,4.773749352E-1,-7.070114587E-1
1.010711150E1,5.090378351E-1,-6.973313548E-1
1.060938121E1,5.410538541E-1,-6.468478634E-1
1.111169221E1,5.295541464E-1,-6.163741674E-1
1.161399458E1,5.088087641E-1,-6.781113569E-1
1.211556758E1,-1.619507790E0,-3.184118351E0
1.261763950E1,3.396403128E0,-2.187882545E-1
1.311971150E1,8.612776253E0,-4.402628560E-1
1.362178196E1,1.956362797E1,-1.123140029E0
1.412385196E1,2.556332043E1,-9.800885516E-1
1.462592037E1,3.743794724E1,-8.427694826E-1
1.512798837E1,3.879358014E1,-3.958941617E-1
1.563005412E1,4.421384415E1,-8.216278059E-1
1.663418496E1,5.569412315E1,-2.766035929E0
1.713624896E1,6.142297896E1,1.428539997E0
1.763831075E1,6.774662220E1,-1.534625975E0
1.814037375E1,7.876498633E1,-1.605835392E0
1.864243508E1,8.078071327E1,-3.127064649E0
1.914449608E1,8.109640074E1,-3.001819649E0
1.964655558E1,8.135352197E1,-2.833135428E0
2.014861558E1,8.144737060E1,-2.706768698E0
2.065067521E1,8.160053443E1,-2.508224151E0
2.115273521E1,8.267437584E1,-4.391345048E0
2.215685087E1,8.214235706E1,-2.696235748E0
2.265890808E1,8.210069324E1,-2.894726309E0
2.316096608E1,8.224364776E1,-2.716776614E0
2.366302025E1,8.225817094E1,-2.942308838E0
2.416507725E1,8.032985977E1,-1.739321042E0
2.466713158E1,7.653304460E1,-4.970229768E0
2.516918758E1,5.484211520E1,-5.115955846E-1
2.567124121E1,4.844802648E1,-1.547623534E0
2.617329521E1,3.456219065E1,-6.690588328E-1
2.667534837E1,2.114013814E1,-8.490643564E-1
2.717740238E1,1.278026593E1,-8.471474713E-1
2.818150408E1,2.294519263E0,-2.727066243E0
2.868355596E1,5.333767343E-1,-6.589683320E-1
2.918560696E1,5.196186957E-1,-6.747160626E-1
2.968765671E1,5.382355151E-1,-6.329578353E-1
3.018970671E1,5.710439569E-1,-6.158283944E-1
3.069175487E1,5.519072342E-1,-6.364115400E-1
3.119380387E1,5.259188752E-1,-6.472754116E-1
3.169585075E1,5.230575284E-1,-7.143398177E-1
3.219789875E1,-6.603294815E-1,6.070951131E-1
3.269994546E1,1.793702076E-1,4.070945093E-1
3.320199246E1,4.024190162E-1,-5.700841674E-1
3.370403758E1,-9.446096485E-2,7.204422222E-1
3.470812638E1,-7.338745962E-2,-2.823237435E-1
3.521017137E1,-3.752362476E-1,3.244600360E-1
3.571221458E1,-1.392946349E-1,-6.534820071E-2
3.621425758E1,6.061131414E-1,-8.992143427E-1
3.671630008E1,1.205137816E-1,-7.747321234E-2
3.721834308E1,5.509042334E-2,-2.582364215E-2
3.772038471E1,5.423045073E-2,-5.423045073E-2
3.822242671E1,6.289703942E-2,-4.221857002E-2
3.872446725E1,2.325175798E-2,-1.093692533E-1
3.922650825E1,9.308530511E-2,-8.963770695E-2
3.972854746E1,7.495496404E-2,-6.289325631E-2
4.023058746E1,-2.060897321E-1,-1.208770635E0
4.073262571E1,3.611393732E-1,1.218211704E-1
4.123466571E1,2.664849533E0,-5.790803064E-1
4.173670346E1,1.734609064E-1,1.587901620E-1
4.223874246E1,1.031717224E0,1.024829101E0
4.274077821E1,-9.551719507E-1,-1.557200130E0
4.324281621E1,1.657065238E-1,2.079958758E-1
4.374485371E1,2.007490935E0,-2.684153052E0
4.424689171E1,5.514590495E-1,3.084789507E-1
4.525096496E1,5.332450759E-1,4.341811530E-1
