"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
6.487845833E-2,8.956476998E1,-5.952863234E1
5.669837083E-1,8.946887005E1,-5.255513449E1
1.069085708E0,8.953954754E1,-5.419332991E1
2.073288833E0,8.946832169E1,-5.068996385E1
2.575388958E0,8.948409181E1,-5.641266557E1
3.077486958E0,8.942144809E1,-4.693243393E1
3.579584375E0,8.951789035E1,-5.336211724E1
4.081678375E0,8.951382706E1,-5.322723433E1
4.583773458E0,8.950069551E1,-5.385267151E1
5.085864458E0,8.948223192E1,-5.230366630E1
5.587955500E0,8.953104298E1,-5.439116504E1
6.090044500E0,8.953296725E1,-5.255267284E1
6.592131833E0,8.947412852E1,-5.160397423E1
7.094216833E0,8.947170536E1,-5.347445051E1
7.596302208E0,8.948693003E1,-5.243855431E1
8.600466833E0,8.950857586E1,-5.223281637E1
9.102566833E0,8.950854633E1,-5.372381975E1
9.604849500E0,8.952262506E1,-5.597346783E1
1.010711150E1,8.949096216E1,-5.387193852E1
1.060938121E1,8.945894614E1,-5.008966986E1
1.111169221E1,8.947044585E1,-4.933296151E1
1.161399458E1,8.949119123E1,-5.311848520E1
1.211556758E1,9.161950779E1,-1.169411399E2
1.261763950E1,8.660359687E1,-3.681477548E0
1.311971150E1,8.138722374E1,-2.904285743E0
1.362178196E1,7.043637202E1,-3.157694990E0
1.412385196E1,6.443667956E1,-2.048294617E0
1.462592037E1,5.256205276E1,-1.100728948E0
1.512798837E1,5.120641985E1,-4.925017337E-1
1.563005412E1,4.578615584E1,-8.444867910E-1
1.663418496E1,3.430587685E1,-1.888061376E0
1.713624896E1,2.857702103E1,7.782356296E-1
1.763831075E1,2.225337780E1,-6.280627256E-1
1.814037375E1,1.123501366E1,-3.190641504E-1
1.864243508E1,9.219286725E0,-5.080454897E-1
1.914449608E1,8.903599256E0,-4.706857686E-1
1.964655558E1,8.646478028E0,-4.311658613E-1
2.014861558E1,8.552629394E0,-4.073677362E-1
2.065067521E1,8.399465565E0,-3.705900116E-1
2.115273521E1,7.325624150E0,-5.656301793E-1
2.215685087E1,7.857642936E0,-3.723718798E-1
2.265890808E1,7.899306758E0,-4.019762564E-1
2.316096608E1,7.756352233E0,-3.703162770E-1
2.366302025E1,7.741829059E0,-4.003487688E-1
2.416507725E1,9.670140227E0,-2.964631673E-1
2.466713158E1,1.346695540E1,-1.193037304E0
2.516918758E1,3.515788479E1,-3.603329261E-1
2.567124121E1,4.155197351E1,-1.371797892E0
2.617329521E1,5.543780934E1,-9.711776801E-1
2.667534837E1,6.885986185E1,-2.194906817E0
2.717740238E1,7.721973406E1,-3.729682237E0
2.818150408E1,8.770548073E1,-4.992939565E1
2.868355596E1,8.946662326E1,-5.101330970E1
2.918560696E1,8.948038130E1,-5.239959466E1
2.968765671E1,8.946176448E1,-4.962415133E1
3.018970671E1,8.942895604E1,-4.716107949E1
3.069175487E1,8.944809276E1,-4.906788729E1
3.119380387E1,8.947408112E1,-5.090614111E1
3.169585075E1,8.947694247E1,-5.378813279E1
3.219789875E1,9.066032948E1,1.374053193E2
3.269994546E1,8.982062979E1,6.622148239E1
3.320199246E1,8.959758098E1,-5.478240703E1
3.370403758E1,9.009446096E1,9.746935799E1
3.470812638E1,9.007338745E1,-1.045709337E2
3.521017137E1,9.037523624E1,1.391507199E2
3.571221458E1,9.013929463E1,-1.548670450E2
3.621425758E1,8.939388685E1,-5.601934997E1
3.671630008E1,8.987948621E1,-3.273522627E1
3.721834308E1,8.994490957E1,-2.511483488E1
3.772038471E1,8.994576954E1,-4.500000000E1
3.822242671E1,8.993710296E1,-3.387081071E1
3.872446725E1,8.997674824E1,-7.799770510E1
3.922650825E1,8.990691469E1,-4.391907581E1
3.972854746E1,8.992504503E1,-3.999935540E1
4.023058746E1,9.020608973E1,-9.967425800E1
4.073262571E1,8.963886062E1,1.864030916E1
4.123466571E1,8.733515046E1,-1.225178305E1
4.173670346E1,8.982653909E1,4.247169881E1
4.223874246E1,8.896828277E1,4.480805506E1
4.274077821E1,9.095517195E1,-1.215206395E2
4.324281621E1,8.983429347E1,5.145635130E1
4.374485371E1,8.799250906E1,-5.321587441E1
4.424689171E1,8.944854095E1,2.922155821E1
4.525096496E1,8.946675492E1,3.915304872E1
