"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.704479167E-2,-8.607026935E-2,2.321633995E-1,-2.354604658E-5,2.476043939E-1
3.696179167E-2,-9.510563314E-2,2.495712936E-1,1.685123518E-2,2.676095592E-1
4.687879167E-2,-6.616745889E-2,1.889915615E-1,1.162717771E-2,2.005770032E-1
5.679579167E-2,-2.550454624E-2,6.593748182E-2,3.075233893E-3,7.076503693E-2
6.671179167E-2,2.522547543E-2,-5.803506076E-2,-4.863915499E-3,6.346692495E-2
7.662879167E-2,5.542674661E-2,-1.553506255E-1,-4.755186848E-3,1.650107660E-1
8.654579167E-2,6.662774086E-2,-1.925155818E-1,-7.120606955E-3,2.038435875E-1
9.646279167E-2,5.517745763E-2,-1.423178464E-1,-1.259114966E-2,1.531582786E-1
1.063787917E-1,2.006181516E-2,-4.677694291E-2,-1.852281019E-2,5.416320996E-2
1.162957917E-1,-1.560782455E-2,5.512816086E-2,-1.323694643E-2,5.880420953E-2
1.262127917E-1,-4.438114911E-2,1.148154587E-1,6.370310672E-3,1.232593072E-1
1.361297917E-1,-4.807630554E-2,1.259925514E-1,1.223577932E-2,1.354074166E-1
1.460452500E-1,-3.195938841E-2,9.001112729E-2,8.751831949E-3,9.591663102E-2
1.559622500E-1,-8.837574162E-3,2.024543658E-2,2.013357356E-3,2.218184003E-2
1.658792500E-1,1.722065732E-2,-4.787955433E-2,-7.238395046E-4,5.088739240E-2
1.757962500E-1,3.248998523E-2,-8.755695820E-2,3.084962955E-4,9.339119465E-2
1.857132500E-1,3.434114903E-2,-9.022038430E-2,-3.720067441E-3,9.660678631E-2
1.956292500E-1,2.150229551E-2,-5.455383658E-2,-5.609943997E-3,5.890620740E-2
2.055462500E-1,-6.394926459E-4,-3.641010262E-4,-2.119338838E-3,2.243461057E-3
2.154632500E-1,-1.901244745E-2,4.793067649E-2,9.478731081E-4,5.157248656E-2
