time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187381146280,0.06689453,-0.13015747,9.277985
3187381146285,0.047851563,-0.1777649,9.525543
3187381146289,0.076416016,-0.15396118,9.613617
3187381146294,0.10021973,-0.14920044,9.658844
3187381146300,0.06213379,-0.12539673,9.527924
3187381146304,0.08117676,-0.1444397,9.404144
3187381146310,0.08117676,-0.13015747,9.37796
3187381146314,0.095458984,-0.115875244,9.516022
3187381146319,0.035949707,-0.04446411,9.637421
3187381146324,0.0692749,-0.051605225,9.615997
3187381146329,0.08355713,-0.06350708,9.525543
3187381146334,0.06451416,-0.049224854,9.451752
3187381146339,0.024047852,-0.025421143,9.425568
3187381146344,0.02166748,-0.023040771,9.492218
3187381146349,0.012145996,0.0031433105,9.542206
3187381146354,0.06451416,-0.01828003,9.551727
3187381146359,0.005004883,-0.06350708,9.50412
3187381146364,0.009765625,-0.0206604,9.44223
3187381146369,0.0026245117,-0.056365967,9.466034
3187381146374,0.0026245117,-0.08731079,9.475555
3187381146378,-0.009277344,-0.094451904,9.527924
3187381146383,0.028808594,-0.1111145,9.527924
3187381146389,0.0026245117,-0.12301636,9.508881
3187381146394,0.033569336,-0.13729858,9.5065
3187381146398,0.047851563,-0.10397339,9.494598
3187381146403,0.06213379,-0.08969116,9.5065
3187381146408,0.06689453,-0.1277771,9.499359
3187381146414,0.0859375,-0.12539673,9.480316
3187381146418,0.1026001,-0.118255615,9.494598
3187381146423,0.09069824,-0.10397339,9.430328
3187381146428,0.09307861,-0.08016968,9.535065
3187381146433,0.12640381,-0.06826782,9.480316
3187381146438,0.10498047,-0.058746338,9.485077
3187381146443,0.08117676,-0.073028564,9.563629
3187381146448,0.09307861,-0.030181885,9.463654
3187381146453,0.0859375,-0.037322998,9.489838
3187381146458,0.1026001,-0.049224854,9.535065
3187381146463,0.054992676,-0.06350708,9.530304
3187381146467,0.028808594,-0.06826782,9.516022
3187381146473,0.033569336,-0.06826782,9.494598
3187381146478,0.038330078,-0.07778931,9.494598
3187381146482,0.026428223,-0.08493042,9.50412
3187381146488,0.005004883,-0.08493042,9.499359
3187381146492,-0.0068969727,-0.10397339,9.487457
3187381146497,0.0026245117,-0.12301636,9.477936
3187381146503,0.01928711,-0.10873413,9.496979
3187381146507,0.028808594,-0.10635376,9.5017395
3187381146512,0.0026245117,-0.10873413,9.463654
3187381146518,0.028808594,-0.11349487,9.492218
3187381146522,0.02166748,-0.12539673,9.516022
3187381146527,0.095458984,-0.094451904,9.496979
3187381146532,0.06213379,-0.08255005,9.492218
3187381146537,0.116882324,-0.10397339,9.499359
3187381146542,0.052612305,-0.04446411,9.489838
3187381146547,0.10498047,-0.096832275,9.508881
3187381146552,0.10736084,-0.096832275,9.496979
3187381146557,0.07165527,-0.08016968,9.551727
3187381146562,0.10974121,-0.046844482,9.492218
3187381146566,0.06689453,-0.053985596,9.499359
3187381146571,0.07165527,-0.01828003,9.539825
3187381146577,0.10021973,-0.01828003,9.382721
3187381146582,0.031188965,-0.011138916,9.527924
3187381146586,0.033569336,-0.06350708,9.480316
3187381146591,-0.0068969727,-0.051605225,9.508881
3187381146596,-0.018798828,-0.06112671,9.394623
3187381146601,0.014526367,-0.07778931,9.746918
3187381146606,-0.056884766,-0.06350708,9.31369
3187381146611,0.031188965,-0.09207153,9.658844
3187381146616,-0.028320313,-0.07778931,9.4374695
3187381146621,0.024047852,-0.06350708,9.520782
3187381146625,0.08355713,-0.118255615,9.454132
3187381146631,0.0859375,-0.07778931,9.523163
3187381146636,0.054992676,-0.14205933,9.494598
3187381146641,0.06689453,-0.13967896,9.496979
3187381146645,0.06689453,-0.17062378,9.435089
3187381146651,0.059753418,-0.13729858,9.518402
3187381146655,0.059753418,-0.12063599,9.461273
3187381146660,0.04309082,-0.11349487,9.518402
3187381146665,0.07879639,-0.10397339,9.523163
3187381146670,0.050231934,-0.06826782,9.470795
3187381146676,0.08355713,-0.013519287,9.516022
3187381146681,0.07879639,-0.046844482,9.480316
3187381146685,0.06689453,-0.030181885,9.537445
3187381146690,0.047851563,-0.030181885,9.556488
3187381146695,0.10736084,-0.04446411,9.482697
3187381146700,0.033569336,-0.056365967,9.496979
3187381146705,0.04547119,-0.030181885,9.556488
3187381146710,0.01928711,-0.07778931,9.868317
3187381146715,0.116882324,7.6293945E-4,9.7326355
3187381146720,0.8452759,0.100738525,9.025665
3187381146724,2.3948975,1.2052307,9.087555
3187381146730,4.303955,6.1802063,9.949249
3187381146735,2.725769,5.0019226,9.934967
3187381146740,0.78338623,2.407318,9.50412
3187381146745,-0.23065186,1.0052795,9.18277
3187381146750,-0.6972046,0.28640747,9.030426
3187381146754,-1.1209106,-0.32772827,9.308929
3187381146759,-1.9540405,-1.1799011,10.094452
3187381146765,-2.9180908,-2.2534485,10.641937
3187381146769,-1.9897461,-2.9485168,9.070892
3187381146774,-0.9685669,-3.686432,12.758087
3187381146779,0.30493164,-4.019684,13.581696
3187381146784,0.79766846,-3.5959778,13.553131
3187381146789,-0.94000244,-3.084198,9.482697
3187381146794,-1.9516602,-2.4391174,5.855011
3187381146799,-4.9295044,-2.1510925,5.1837463
3187381146804,-6.214905,-1.8059387,7.6783752
3187381146809,-5.812622,-1.3631897,9.31369
3187381146814,-4.6986084,-1.2298889,9.180389
3187381146819,-3.3370361,-1.3679504,7.278473
3187381146823,-2.6657715,-1.5036316,7.207062
3187381146829,-1.7826538,-1.4584045,8.152069
3187381146834,-0.27349854,-1.1870422,7.426056
3187381146838,0.9904785,-1.448883,7.7950134
3187381146844,1.840271,-1.8368835,8.040192
3187381146848,2.616272,-1.6559753,8.79715
3187381146854,3.1137695,-1.1513367,9.323212
3187381146858,3.539856,-0.13253784,10.684784
3187381146863,4.239685,1.2123718,11.965424
3187381146868,4.587219,2.2168884,11.229889
3187381146873,4.3777466,3.0047913,10.372955
3187381146878,4.065918,3.4094543,12.71048
3187381146883,3.1566162,2.3406677,9.844513
3187381146889,1.5760498,0.62680054,10.5729065
3187381146893,0.25494385,-1.1203918,9.108978
3187381146898,-0.7281494,-2.4272156,8.432953
3187381146903,-1.1494751,-3.4103088,7.7117004
3187381146908,-1.5041504,-4.0625305,7.459381
3187381146913,-1.7921753,-4.3767395,7.9306946
3187381146918,-1.9707031,-4.7480774,7.5974426
3187381146923,-2.2301636,-5.7049866,7.856903
3187381146928,-2.6086426,-6.438141,8.73764
3187381146932,-1.37323,-5.654999,8.701935
3187381146938,0.39538574,-0.29678345,19.38028
3187381146943,0.41680908,-3.2793884,16.719025
3187381146948,-0.5829468,-7.5830994,7.845001
3187381146952,-0.46154785,-8.801849,5.552704
3187381146957,0.41204834,-8.132965,6.066864
3187381146963,1.0761719,-7.1617737,7.3594055
3187381146968,0.9071655,-6.9046936,7.7069397
3187381146972,0.5643921,-6.4476624,7.51651
3187381146977,0.16448975,-6.271515,8.168732
3187381146982,-0.19732666,-6.5500183,6.135895
3187381146987,-0.41156006,-5.6454773,6.431061
3187381146992,-1.059021,-5.374115,7.3284607
3187381146997,-1.1542358,-5.552643,7.7045593
3187381147002,-1.013794,-5.9025574,7.542694
3187381147007,-1.6279297,-6.728546,7.8592834
3187381147011,-1.5422363,-6.509552,9.189911
3187381147016,-2.5848389,-7.478363,9.57077
3187381147021,-1.7897949,-6.8785095,9.289886
3187381147027,-1.4255981,-6.978485,8.368683
3187381147032,-0.7876587,-6.811859,7.6402893
3187381147037,-0.3996582,-6.8713684,6.5119934
3187381147041,-0.099731445,-6.9880066,7.0142517
3187381147047,-0.2520752,-7.592621,8.140167
3187381147052,-0.08544922,-7.5212097,8.637665
3187381147056,0.10736084,-7.023712,6.933319
3187381147062,0.72387695,-6.4928894,7.221344
3187381147066,1.6903076,-5.6216736,7.652191
3187381147071,1.8545532,-5.6526184,7.316559
3187381147076,2.275879,-5.457428,7.530792
3187381147081,2.2782593,-5.547882,7.568878
3187381147086,2.790039,-4.752838,8.749542
3187381147091,2.9233398,-4.3648376,8.923309
3187381147096,2.4591675,-4.6004944,8.216339
3187381147101,2.0830688,-5.21463,9.927826
3187381147106,1.5593872,-5.328888,8.566254
3187381147110,1.2546997,-5.650238,8.713837
3187381147116,0.79052734,-6.1477356,9.1185
3187381147120,0.42633057,-6.4214783,7.6283875
3187381147125,-0.056884766,-6.592865,8.378204
3187381147131,-0.61865234,-6.938019,8.851898
3187381147135,-0.4163208,-7.016571,9.368439
3187381147140,0.08831787,-6.921356,9.820709
3187381147145,0.60723877,-7.004669,9.554108
3187381147151,2.1759033,-6.5452576,10.380096
3187381147155,3.0494995,-6.8190002,9.613617
3187381147160,3.494629,-7.2189026,7.7831116
3187381147165,1.0809326,-9.354095,4.617218
3187381147170,0.3977661,-9.275543,3.719818
3187381147175,0.5405884,-9.180328,2.4606018
3187381147180,0.788147,-8.882782,2.3368225
3187381147185,0.852417,-9.182709,2.2582703
3187381147190,0.63342285,-9.073212,3.5365295
3187381147194,-0.1282959,-9.1684265,3.398468
3187381147200,-0.18304443,-8.694733,3.8388367
3187381147205,-0.078308105,-8.297211,3.9649963
3187381147210,-0.30682373,-8.811371,3.0794983
3187381147215,-1.2970581,-10.172943,0.5682068
3187381147220,-1.0090332,-10.1562805,0.38015747
3187381147225,-0.80908203,-9.953949,0.39205933
3187381147229,-0.7281494,-10.061066,0.45870972
3187381147235,-0.4996338,-9.887299,1.1704407
3187381147240,-0.43774414,-9.696869,1.3703918
3187381147245,-0.5567627,-9.937286,1.1513977
3187381147249,-0.6305542,-9.763519,1.1299744
3187381147255,-0.61151123,-9.580231,1.1442566
3187381147259,-0.6781616,-9.404083,1.3965759
3187381147264,-0.78289795,-9.225555,1.7655334
3187381147269,-0.71624756,-8.854218,2.4082336
3187381147274,-0.95666504,-8.778046,2.6557922
3187381147279,-1.1566162,-8.759003,2.2154236
3187381147284,-1.2851563,-8.823273,1.42276
3187381147289,-1.2423096,-8.828033,0.7134094
3187381147293,-0.96380615,-8.782806,0.29922485
3187381147299,-0.8376465,-8.982758,-0.4624939
3187381147303,-0.7067261,-9.239838,-1.2575378
3187381147308,-0.5067749,-9.673065,-1.6074524
3187381147314,-0.37823486,-10.0277405,-1.5693665
3187381147318,-0.7067261,-11.860626,-1.4289246
3187381147323,-0.56152344,-10.994171,-1.0504456
3187381147328,-0.39013672,-11.355988,-0.6434021
3187381147333,-0.36395264,-10.529999,-0.81240845
3187381147338,-0.51153564,-11.136993,-1.0099792
3187381147343,-0.33776855,-10.006317,-1.1575623
3187381147348,-0.4567871,-9.539764,-1.3717957
3187381147353,-0.5543823,-9.368378,-1.7383728
3187381147358,-0.5210571,-9.211273,-1.9049988
3187381147363,-0.5567627,-9.149384,-1.726471
3187381147368,-0.6234131,-9.004181,-1.5384216
3187381147373,-0.5900879,-8.87088,-1.8097839
3187381147378,-0.56866455,-8.635223,-2.3001404
3187381147383,-0.5734253,-8.392426,-2.7571716
3187381147388,-0.60913086,-8.106781,-3.1094666
3187381147393,-0.74005127,-7.8925476,-3.3284607
3187381147398,-0.7376709,-7.611664,-3.5188904
3187381147402,-0.7781372,-7.406952,-3.77359
3187381147407,-0.68530273,-7.318878,-3.9425964
3187381147412,-0.51153564,-7.2903137,-5.113739
3187381147417,-0.23303223,-7.1284485,-6.6705017
3187381147422,-0.08068848,-6.8404236,-8.07016
3187381147427,-0.030700684,-6.9880066,-8.448639
3187381147432,-0.07354736,-6.521454,-9.231781
3187381147438,0.038330078,-6.014435,-9.212738
3187381147442,0.40014648,-6.7761536,-8.13205
3187381147447,0.16687012,-7.4926453,-7.5036316
3187381147452,0.19067383,-6.740448,-7.4465027
3187381147457,0.37158203,-6.1358337,-7.5607605
3187381147461,0.18353271,-8.4114685,-4.6614685
3187381147467,-0.22113037,-8.35434,-5.1756287
3187381147472,-0.2520752,-6.578583,-7.770233
3187381147477,-0.3163452,-5.366974,-9.662628
3187381147482,-0.23303223,-4.400543,-9.512665
3187381147487,-0.35681152,-3.8102112,-10.026825
3187381147491,-0.33776855,-4.18631,-9.653107
3187381147497,-0.84954834,-2.5343323,-10.945648
3187381147502,-1.0875854,-2.2129822,-10.724274
3187381147507,-1.2732544,-2.1820374,-10.031586
3187381147511,-1.6422119,-1.2441711,-11.290802
3187381147516,-1.4494019,-2.282013,-11.21225
3187381147522,-1.1970825,-1.358429,-11.08609
3187381147526,-0.8019409,-0.98709106,-10.998016
3187381147531,-0.26159668,-2.2653503,-10.267242
3187381147536,-0.32824707,-2.6462097,-9.636444
3187381147541,-0.38537598,-3.80307,-9.781647
3187381147546,-0.5805664,-4.2743835,-9.062775
3187381147551,-0.48535156,-5.490753,-9.067535
3187381147556,-0.30444336,-5.8144836,-8.629547
3187381147561,0.06213379,-5.5954895,-8.489105
3187381147565,0.37872314,-5.131317,-8.881866
3187381147571,0.5048828,-4.219635,-8.834259
3187381147576,0.56677246,-3.296051,-9.474579
3187381147581,0.4144287,-1.9725647,-10.041107
3187381147586,0.7453003,-1.2084656,-10.9028015
3187381147591,1.1761475,-0.5157776,-9.719757
3187381147595,1.9283447,-0.5157776,-8.793793
3187381147601,2.506775,-1.2037048,-11.174164
3187381147605,2.5115356,-0.008758545,-9.155609
3187381147610,2.4091797,-0.77523804,-10.874237
3187381147615,2.0592651,-1.5250549,-9.710236
3187381147621,1.7498169,-2.0677795,-9.760223
3187381147625,1.7260132,-2.1582336,-9.448395
3187381147630,1.4046631,-2.846161,-9.153229
3187381147635,0.93573,-3.693573,-9.772125
3187381147640,0.5548706,-3.93161,-9.922089
3187381147645,0.4072876,-3.7935486,-9.281769
3187381147650,0.20733643,-3.841156,-9.950653
3187381147655,0.2906494,-3.9863586,-9.5364685
3187381147660,0.4572754,-3.757843,-9.579315
