time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187388091739,0.04547119,-0.14205933,9.637421
3187388091744,0.10498047,-0.10397339,9.6493225
3187388091749,0.10498047,-0.08731079,9.658844
3187388091755,0.095458984,-0.10873413,9.556488
3187388091759,0.076416016,-0.08016968,9.404144
3187388091764,0.024047852,-0.096832275,9.349396
3187388091770,0.024047852,-0.115875244,9.587433
3187388091774,0.033569336,-0.13253784,9.618378
3187388091780,0.038330078,-0.09921265,9.596954
3187388091784,0.007385254,-0.07064819,9.56839
3187388091789,0.009765625,-0.06112671,9.451752
3187388091794,-0.04260254,-0.075408936,9.468414
3187388091799,-0.0211792,-0.115875244,9.480316
3187388091804,-0.0211792,-0.11349487,9.554108
3187388091809,-0.011657715,-0.10397339,9.456512
3187388091814,-0.040222168,-0.115875244,9.466034
3187388091819,-0.018798828,-0.09921265,9.520782
3187388091824,-0.02355957,-0.13015747,9.516022
3187388091828,0.009765625,-0.1111145,9.518402
3187388091834,-0.0021362305,-0.11349487,9.473175
3187388091838,0.054992676,-0.1277771,9.5017395
3187388091843,0.1026001,-0.011138916,9.423187
3187388091849,0.15258789,-0.07064819,9.837372
3187388091853,0.1430664,-0.030181885,9.477936
3187388091858,0.14068604,-0.06112671,9.620758
3187388091863,0.14068604,-0.10397339,9.551727
3187388091868,0.09307861,-0.075408936,9.487457
3187388091873,0.10021973,-0.056365967,9.56839
3187388091878,0.04071045,-0.08969116,9.463654
3187388091883,0.014526367,-0.094451904,9.596954
3187388091888,-0.009277344,-0.07064819,9.489838
3187388091893,-0.011657715,-0.1111145,9.489838
3187388091898,2.4414063E-4,-0.09207153,9.532684
3187388091903,-0.018798828,-0.032562256,9.473175
3187388091908,-0.06402588,-0.08493042,9.513641
3187388091913,-0.04498291,-0.08255005,9.520782
3187388091917,-0.037841797,-0.04446411,9.463654
3187388091923,-0.025939941,-0.10397339,9.494598
3187388091927,-0.018798828,-0.09207153,9.554108
3187388091933,-0.014038086,-0.058746338,9.482697
3187388091937,-0.014038086,-0.1277771,9.5017395
3187388091942,-0.0021362305,-0.118255615,9.549347
3187388091947,0.050231934,-0.08969116,9.477936
3187388091952,0.06451416,-0.15396118,9.57077
3187388091958,0.074035645,-0.08493042,9.166107
3187388091962,0.09307861,-0.03970337,9.777863
3187388091967,0.06213379,-0.06350708,9.320831
3187388091972,0.08831787,-0.1277771,9.639801
3187388091977,0.07879639,-0.06588745,9.43985
3187388091982,0.1359253,-0.07064819,9.604095
3187388091987,0.10974121,-0.034942627,9.427948
