time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187677658392,0.014526367,0.010284424,10.841888
3187677658396,0.119262695,-0.0016174316,11.225128
3187677658402,0.12878418,-0.15158081,12.377228
3187677658406,0.11212158,-0.13015747,11.334625
3187677658412,0.076416016,-0.07778931,10.546722
3187677658416,-0.14971924,-0.01828003,7.7902527
3187677658421,-0.18780518,-0.0039978027,6.828583
3187677658427,-0.030700684,-0.037322998,8.818573
3187677658432,0.3168335,0.16500854,10.444366
3187677658436,0.35968018,0.28640747,10.858551
3187677658441,0.2263794,0.10787964,10.463409
3187677658446,0.031188965,-0.023040771,9.5065
3187677658452,-0.13067627,-0.04446411,8.325836
3187677658456,-0.2354126,-0.09207153,8.161591
3187677658462,-0.2520752,-0.16586304,9.018524
3187677658467,-0.2687378,-0.12063599,9.832611
3187677658472,-0.22113037,-0.037322998,10.042084
3187677658477,-0.13543701,0.07217407,9.730255
3187677658482,-0.08544922,0.08883667,9.163727
3187677658487,-0.037841797,0.2268982,8.98996
3187677658492,0.02166748,0.2340393,9.463654
3187677658497,0.21923828,0.21499634,10.001617
3187677658501,0.11450195,0.20309448,9.63028
3187677658507,0.054992676,0.0697937,9.685028
3187677658511,-0.08782959,-0.075408936,9.561249
3187677658516,-0.1616211,-0.27297974,9.351776
3187677658521,-0.15686035,-0.36343384,9.1232605
3187677658526,-0.054504395,-0.35153198,9.327972
3187677658532,0.033569336,-0.20632935,9.811188
3187677658537,0.052612305,-0.049224854,9.742157
3187677658541,0.0859375,0.07455444,9.399384
3187677658546,0.0692749,0.18643188,9.339874
3187677658551,0.06213379,0.25784302,9.430328
3187677658556,0.04547119,0.25546265,9.289886
3187677658561,-0.037841797,0.1435852,9.430328
3187677658566,-0.14971924,0.076934814,9.604095
3187677658571,-0.23303223,0.02456665,9.749298
3187677658576,-0.2758789,-0.015899658,9.601715
3187677658581,-0.24017334,-0.08731079,9.432709
3187677658586,-0.121154785,-0.07064819,9.577911
3187677658592,-0.052124023,-0.025421143,9.592194
3187677658596,0.0692749,0.012664795,9.480316
3187677658601,0.16687012,0.034088135,9.37796
3187677658606,0.24304199,0.034088135,9.3541565
3187677658611,0.22161865,0.034088135,9.5065
3187677658616,0.14544678,0.06741333,9.713593
3187677658621,-0.0068969727,-0.023040771,9.6493225
3187677658626,-0.097351074,-0.13015747,9.532684
3187677658631,-0.12591553,-0.12063599,9.589813
3187677658635,-0.12591553,-0.08493042,9.458893
3187677658641,-0.15447998,-0.008758545,9.385101
3187677658646,-0.15447998,0.02218628,9.482697
3187677658651,-0.10925293,0.1031189,9.587433
3187677658656,-0.052124023,0.19119263,9.587433
