time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187744496913,-0.11401367,-0.10635376,8.823334
3187744496918,-0.10449219,-0.09921265,8.102081
3187744496923,-0.06640625,-0.08493042,8.67099
3187744496928,0.052612305,-0.09921265,9.63504
3187744496934,0.038330078,-0.08016968,10.311066
3187744496938,0.08117676,0.029327393,10.1944275
3187744496944,2.4414063E-4,0.122161865,9.837372
3187744496948,-0.054504395,0.100738525,9.161346
3187744496954,-0.13781738,0.18643188,8.747162
3187744496958,-0.07116699,0.23880005,8.875702
3187744496964,0.028808594,0.21499634,9.282745
3187744496969,0.014526367,0.20547485,9.6683655
3187744496973,-0.07116699,-0.030181885,9.911163
3187744496978,-0.14733887,-0.15872192,9.780243
3187744496983,-0.10687256,-0.13015747,9.408905
3187744496989,-0.075927734,-0.13015747,9.261322
3187744496993,-0.02355957,-0.08016968,9.351776
3187744496999,0.038330078,-0.046844482,9.518402
3187744497003,0.16687012,-0.04208374,9.8802185
3187744497008,0.12402344,-0.034942627,9.5017395
3187744497013,0.11450195,-0.013519287,9.927826
3187744497019,0.054992676,0.0031433105,9.618378
3187744497023,-0.059265137,0.02218628,9.387482
3187744497028,-0.14019775,0.007904053,9.408905
3187744497033,-0.19018555,-0.04208374,9.4184265
3187744497038,-0.07116699,0.3744812,9.606476
3187744497043,-0.054504395,0.18643188,9.323212
3187744497048,-0.0068969727,0.18405151,9.337494
3187744497053,-0.08068848,0.22213745,9.463654
3187744497058,0.009765625,0.057891846,9.18277
3187744497063,-0.0949707,0.007904053,9.24704
3187744497068,-0.14019775,0.015045166,9.3541565
3187744497074,-0.1687622,-0.073028564,9.558868
3187744497078,-0.15924072,-0.14920044,9.366058
3187744497083,-0.06640625,-0.22299194,9.244659
3187744497089,0.009765625,-0.15872192,9.599335
3187744497093,0.09069824,-0.056365967,9.727875
3187744497098,0.18115234,-0.075408936,9.527924
3187744497104,0.15258789,0.007904053,9.7612
3187744497108,0.116882324,0.13168335,9.904022
3187744497113,0.04309082,0.15548706,9.561249
3187744497118,0.04071045,0.122161865,9.546967
3187744497123,-0.059265137,0.06741333,9.604095
3187744497128,-0.099731445,0.0055236816,9.535065
3187744497133,-0.14733887,-0.03970337,9.37796
3187744497138,-0.1687622,-0.08969116,9.370819
3187744497143,-0.17114258,0.012664795,9.416046
3187744497148,-0.10211182,7.6293945E-4,9.344635
3187744497153,-0.049743652,0.0697937,9.2065735
3187744497158,0.009765625,0.0697937,9.466034
3187744497163,0.08117676,0.08883667,9.446991
3187744497168,0.09069824,0.07455444,9.446991
3187744497174,0.031188965,0.010284424,9.613617
3187744497178,0.007385254,-0.008758545,9.623138
3187744497183,-0.009277344,0.026947021,9.677887
3187744497188,-0.037841797,-0.015899658,9.642181
3187744497193,-0.09259033,-0.04446411,9.69931
3187744497198,-0.07116699,-0.08731079,9.656464
3187744497203,-0.025939941,-0.07064819,9.446991
3187744497208,0.005004883,-0.08493042,9.4374695
3187744497213,0.04071045,-0.034942627,9.489838
3187744497218,0.06451416,0.0055236816,9.492218
3187744497223,-0.0021362305,0.06265259,9.446991
3187744497228,-0.025939941,0.026947021,9.4184265
3187744497233,-0.07116699,0.07455444,9.344635
3187744497238,-0.08544922,0.14596558,8.868561
3187744497243,-0.19970703,0.079315186,9.82309
3187744497248,-0.21636963,0.46255493,9.625519
3187744497253,-0.34014893,-0.7776184,12.043976
3187744497258,-0.77337646,0.4577942,3.2175598
3187744497263,-0.15447998,-0.046844482,9.289886
3187744497268,0.10498047,0.17453003,12.546234
3187744497273,0.5215454,1.1504822,8.547211
3187744497278,0.65008545,3.5070496,6.200165
3187744497283,0.014526367,2.7381897,10.456268
3187744497288,-1.2970581,-0.76571655,11.465546
3187744497293,-1.6136475,-3.2222595,10.451508
3187744497298,-0.9590454,-3.8102112,8.359161
3187744497303,0.5810547,-3.41745,7.016632
3187744497307,1.3499146,-3.9768372,8.678131
3187744497313,-0.04736328,-3.7983093,11.0346985
3187744497318,1.0880737,-3.886383,10.1111145
3187744497323,1.2332764,-5.4169617,9.216095
3187744497328,2.0925903,-5.5645447,8.649567
3187744497333,3.4660645,-4.3243713,8.071136
3187744497337,4.501526,-2.943756,8.920929
3187744497343,3.8588257,-0.46340942,18.071075
3187744497348,0.65722656,-1.4822083,14.57431
3187744497353,1.7498169,-3.8459167,12.8628235
3187744497358,-1.2661133,-8.132965,10.199188
3187744497362,-1.1209106,-9.239838,9.842133
3187744497367,-0.4663086,-8.259125,10.737152
3187744497372,0.024047852,-5.3503113,11.344147
3187744497377,-0.44250488,-4.419586,10.584808
3187744497383,0.29541016,-1.679779,10.01828
3187744497388,-0.10211182,-1.4774475,10.246796
3187744497393,-1.7017212,-2.2272644,14.405304
3187744497397,-3.3513184,-6.7118835,4.8266907
3187744497403,-0.011657715,-3.3769836,8.09256
3187744497408,1.4260864,-1.9154358,9.884979
3187744497413,1.6307983,-2.2772522,9.870697
3187744497418,1.0904541,-3.1984558,9.380341
3187744497422,1.0285645,-3.9911194,9.337494
