time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187585917774,0.20019531,-0.10635376,10.351532
3187585917780,0.026428223,-0.037322998,8.613861
3187585917784,-0.099731445,0.02456665,7.437958
3187585917790,-0.09259033,0.036468506,8.249664
3187585917795,0.06213379,-0.01828003,9.856415
3187585917799,0.054992676,-0.01828003,10.556244
3187585917804,0.038330078,0.019805908,10.534821
3187585917810,-0.04260254,-0.015899658,10.065887
3187585917815,-0.17828369,-0.006378174,9.139923
3187585917819,-0.21160889,0.015045166,8.501984
3187585917824,-0.06878662,7.6293945E-4,8.794769
3187585917830,-0.011657715,-0.034942627,9.358917
3187585917835,0.07165527,-0.013519287,9.768341
3187585917840,0.12640381,-0.07064819,9.901642
3187585917844,0.097839355,-0.037322998,9.730255
3187585917849,0.08831787,-0.0206604,9.44223
3187585917854,0.07165527,-0.058746338,9.299408
3187585917859,0.01928711,-0.06588745,9.494598
3187585917864,0.050231934,-0.094451904,9.787384
3187585917870,0.08355713,-0.10635376,9.865936
3187585917874,0.06689453,-0.13729858,9.75882
3187585917879,0.04547119,-0.12301636,9.532684
3187585917884,0.0859375,-0.011138916,9.251801
3187585917889,0.057373047,0.026947021,9.197052
3187585917894,0.02166748,0.02218628,9.289886
3187585917899,-0.0068969727,0.07217407,9.456512
3187585917904,0.005004883,0.02456665,9.525543
3187585917909,-0.09020996,0.04598999,9.470795
3187585917914,-0.097351074,-0.049224854,9.5065
3187585917919,-0.07354736,-0.027801514,9.304169
3187585917923,-0.11401367,-0.07064819,9.327972
3187585917929,-0.061645508,-0.037322998,9.285126
3187585917934,-0.033081055,-0.034942627,9.370819
3187585917938,-0.033081055,-0.058746338,9.468414
3187585917944,0.052612305,-0.04208374,9.489838
3187585917949,0.031188965,0.017425537,9.492218
3187585917953,0.057373047,0.0031433105,9.587433
3187585917958,0.09307861,-0.006378174,9.611237
3187585917963,0.09069824,-0.037322998,9.749298
3187585917968,0.08831787,-0.094451904,9.711212
3187585917973,0.0692749,-0.08493042,9.63028
3187585917978,0.06689453,-0.08016968,9.535065
3187585917983,0.038330078,-0.03970337,9.496979
3187585917988,0.028808594,-0.049224854,9.4184265
3187585917993,0.005004883,-0.032562256,9.463654
3187585917998,-0.009277344,-0.013519287,9.511261
3187585918003,-0.07116699,0.012664795,9.523163
3187585918008,-0.04498291,0.015045166,9.456512
3187585918013,-0.035461426,0.012664795,9.432709
3187585918018,-0.056884766,-0.013519287,9.404144
3187585918022,-0.0211792,-0.037322998,9.413666
3187585918028,0.01928711,-0.027801514,9.339874
3187585918033,-0.0068969727,-0.10397339,9.423187
3187585918037,-0.009277344,-0.10159302,9.511261
3187585918042,0.038330078,-0.073028564,9.589813
3187585918048,0.038330078,-0.06350708,9.644562
3187585918052,0.050231934,-0.046844482,9.658844
3187585918058,0.08355713,-0.06112671,9.69693
3187585918063,0.08831787,-0.04208374,9.56839
3187585918068,0.054992676,-0.034942627,9.563629
3187585918073,0.012145996,-0.01828003,9.556488
3187585918077,0.038330078,0.0031433105,9.468414
3187585918082,0.035949707,-0.023040771,9.416046
3187585918087,-0.016418457,-0.0206604,9.485077
3187585918092,-0.035461426,-0.0206604,9.542206
3187585918097,-0.035461426,-0.06350708,9.461273
3187585918102,-0.054504395,-0.008758545,9.466034
3187585918107,-0.049743652,-0.037322998,9.454132
3187585918112,-0.011657715,0.04360962,9.392242
3187585918117,-0.04498291,0.02456665,9.368439
3187585918122,0.016906738,-0.015899658,9.325592
3187585918127,-0.014038086,-0.013519287,9.397003
3187585918132,-0.0068969727,-0.013519287,9.411285
3187585918137,-0.04260254,7.6293945E-4,9.549347
3187585918142,0.01928711,-0.046844482,9.511261
3187585918147,0.04309082,-0.027801514,9.551727
3187585918152,0.09069824,-0.09921265,9.556488
3187585918157,0.095458984,-0.094451904,9.508881
3187585918161,0.10498047,-0.10635376,9.475555
3187585918166,0.09307861,-0.10873413,9.539825
3187585918172,0.054992676,-0.08255005,9.399384
3187585918177,0.09069824,-0.06826782,9.508881
3187585918181,0.10021973,-0.03970337,9.516022
3187585918186,0.033569336,-0.011138916,9.511261
3187585918192,0.031188965,-0.04446411,9.537445
3187585918196,0.009765625,-0.013519287,9.551727
3187585918202,-0.04736328,-0.023040771,9.492218
3187585918206,-0.037841797,-0.025421143,9.411285
3187585918211,-0.040222168,-0.023040771,9.358917
3187585918216,-0.06402588,0.02456665,9.423187
3187585918221,-0.06878662,-0.015899658,9.413666
3187585918226,-0.08544922,-0.0039978027,9.432709
3187585918231,0.005004883,-0.03970337,9.546967
3187585918236,0.0026245117,-0.037322998,9.416046
3187585918241,0.047851563,-0.011138916,9.301788
3187585918247,0.02166748,0.23880005,8.675751
3187585918251,0.059753418,0.06503296,10.242035
3187585918256,-0.030700684,-0.046844482,8.987579
3187585918261,0.024047852,-0.118255615,9.5065
3187585918266,0.01928711,-0.12301636,10.106354
3187585918271,0.031188965,-0.19680786,9.946869
3187585918275,0.016906738,-0.27774048,9.5850525
3187585918281,0.11212158,0.02218628,9.094696
3187585918286,0.76434326,1.2195129,9.299408
3187585918290,0.16687012,0.4649353,9.180389
3187585918296,1.9116821,3.266632,9.142303
3187585918301,-0.1616211,0.20309448,11.165619
3187585918305,-0.7614746,-1.4393616,11.479828
3187585918311,-1.0471191,-1.9844666,10.687164
3187585918316,-0.994751,-2.4533997,10.061127
3187585918320,-1.539856,-3.7887878,12.148712
3187585918326,-0.7614746,-3.3579407,11.325104
3187585918330,-0.49249268,-2.8199768,9.582672
3187585918335,0.8428955,-2.7342834,2.6534119
3187585918341,0.9190674,-2.2010803,1.672699
3187585918345,0.538208,-5.1717834,4.2863464
3187585918350,-2.5324707,-8.016327,12.800934
3187585918356,-6.5791016,-9.773041,19.38028
3187585918360,-9.173706,-11.058441,19.139862
3187585918365,-9.247498,-8.637604,9.487457
3187585918370,-6.724304,-5.2622375,2.955719
3187585918375,-4.305847,-3.1579895,-0.06259155
3187585918380,-1.4327393,-2.9318542,0.51345825
3187585918385,0.3334961,-3.6054993,3.5698547
3187585918390,1.8426514,-3.7745056,9.7326355
3187585918395,3.7731323,-2.6628723,15.72403
3187585918400,3.5874634,-3.8721008,11.732147
3187585918405,3.0090332,-4.7695007,8.961395
3187585918410,2.9328613,-4.245819,8.571014
3187585918415,7.7816772,2.3644714,19.38028
3187585918420,0.73101807,-7.252228,-9.750702
3187585918424,0.94763184,-5.2741394,1.5322571
3187585918430,-1.5493774,-6.683319,-0.067352295
3187585918435,3.9492798,-0.7062073,10.365814
3187585918440,1.083313,-5.297943,6.888092
3187585918445,3.649353,-1.5559998,12.829498
3187585918449,4.251587,-0.28726196,10.879974
3187585918454,0.012145996,-8.770905,-6.9180603
3187585918460,1.6569824,-2.6009827,11.917816
3187585918464,1.526062,0.029327393,19.38028
3187585918469,-0.9519043,-6.169159,8.15921
3187585918474,-1.9921265,-7.549774,1.7845764
3187585918479,-2.0897217,-4.886139,6.733368
3187585918484,-2.6848145,-5.240814,10.173004
3187585918489,-2.0040283,-1.6178894,14.82901
3187585918494,-1.0375977,-1.8321228,10.706207
3187585918499,1.3499146,-0.04446411,9.934967
3187585918504,2.4401245,-0.073028564,8.178253
3187585918509,2.2139893,-1.0775452,9.392242
3187585918514,0.9190674,-3.398407,8.763824
3187585918519,0.63342285,-4.70047,8.428192
3187585918523,0.7929077,-5.0051575,9.687408
3187585918529,0.94525146,-5.0765686,9.235138
3187585918534,1.3094482,-5.002777,8.41391
3187585918539,1.5403442,-5.157501,5.3075256
3187585918543,1.885498,-4.1982117,10.613373
3187585918549,1.2213745,-3.7626038,10.844269
3187585918553,1.0,-4.9147034,5.257538
3187585918559,0.37872314,-5.53598,5.881195
3187585918563,0.005004883,-6.014435,9.299408
3187585918569,-0.09020996,-6.7380676,3.9840393
3187585918574,-0.049743652,-5.676422,19.38028
3187585918579,0.7119751,-5.969208,-0.9052429
3187585918583,0.89764404,-4.7433167,10.758575
3187585918588,0.93811035,-4.8385315,13.681671
3187585918593,1.609375,-4.12442,0.004058838
3187585918599,1.7141113,-3.3460388,11.903534
3187585918604,1.2713623,-3.2912903,19.38028
3187585918608,1.7426758,-3.488861,5.0623474
3187585918613,1.7974243,-3.8578186,1.210907
3187585918619,1.4070435,-3.80307,6.9928284
3187585918623,0.63342285,-4.295807,13.786407
3187585918628,0.39538574,-4.598114,14.467194
3187585918633,0.3739624,-4.8385315,11.598846
3187585918638,0.43823242,-4.7861633,10.939484
3187585918643,0.32159424,-4.7361755,11.384613
3187585918648,0.23352051,-4.6909485,9.899261
3187585918653,-0.2020874,-4.6076355,10.108734
3187585918658,-0.70196533,-4.590973,10.589569
3187585918662,-1.1018677,-4.795685,11.689301
3187585918668,0.36444092,-8.5780945,4.4910583
3187585918673,1.2880249,-9.151764,3.5698547
3187585918678,0.8786011,-9.111298,4.1006775
3187585918683,0.8690796,-8.9565735,3.879303
3187585918687,0.82385254,-8.939911,3.834076
3187585918692,0.7595825,-8.947052,3.655548
3187585918698,1.1213989,-9.301727,2.6891174
3187585918703,1.3165894,-9.294586,2.0559387
3187585918708,1.083313,-9.3160095,2.3320618
3187585918712,1.1094971,-9.692108,2.2511292
3187585918718,0.86431885,-9.57785,2.243988
3187585918723,0.67626953,-9.625458,2.243988
3187585918727,0.685791,-9.63736,1.9107361
3187585918732,0.60009766,-9.530243,1.5203552
3187585918737,0.5453491,-9.373138,1.2251892
3187585918742,0.4644165,-9.289825,1.0538025
3187585918747,0.33825684,-9.361237,0.94906616
3187585918752,0.41680908,-9.346954,0.832428
3187585918757,0.31445313,-9.285065,0.7586365
3187585918762,0.29779053,-9.584991,0.6967468
3187585918767,0.09307861,-10.85849,0.22543335
3187585918772,0.028808594,-10.4704895,-0.33633423
3187585918777,-0.037841797,-10.806122,-0.5458069
3187585918781,2.4414063E-4,-10.032501,-0.7100525
3187585918787,0.21923828,-8.994659,-1.328949
3187585918792,0.5881958,-8.637604,-2.3001404
3187585918797,0.64056396,-8.635223,-2.7809753
3187585918801,0.71435547,-8.637604,-3.2522888
3187585918806,0.704834,-8.673309,-3.4998474
3187585918812,0.72387695,-8.592377,-3.8164368
3187585918817,0.46203613,-8.470978,-4.6995544
3187585918821,-0.42108154,-7.9115906,-6.934723
3187585918827,0.15020752,-7.992523,-5.4755554
3187585918832,1.2213745,-8.901825,-1.9145203
3187585918837,0.99523926,-8.275787,-2.5881653
3187585918841,0.16687012,-7.504547,-4.8209534
3187585918846,0.2763672,-7.2569885,-5.5660095
3187585918851,0.36206055,-7.085602,-6.230133
3187585918857,-0.078308105,-6.49527,-7.456024
3187585918861,0.25494385,-6.271515,-7.282257
3187585918866,1.4998779,-6.9880066,-6.5229187
3187585918871,1.5474854,-7.0760803,-6.994232
3187585918876,0.45489502,-5.9239807,-8.360565
3187585918881,0.40252686,-5.4669495,-8.45816
3187585918886,1.2570801,-6.2048645,-7.551239
3187585918891,1.4118042,-6.9475403,-7.2798767
3187585918896,0.8048096,-6.0310974,-7.8440247
3187585918901,0.5453491,-5.6264343,-8.341522
3187585918906,0.45251465,-4.7052307,-8.743805
3187585918911,0.51678467,-4.540985,-8.834259
3187585918916,0.7595825,-4.7552185,-9.046112
3187585918920,0.6381836,-4.3910217,-8.800934
3187585918925,0.6119995,-4.360077,-8.917572
3187585918931,0.62390137,-4.2029724,-9.326996
3187585918936,0.46679688,-4.038727,-9.050873
3187585918940,0.11212158,-3.500763,-9.431732
3187585918946,0.31207275,-3.334137,-9.579315
3187585918950,0.2906494,-3.2484436,-9.845917
3187585918956,0.6310425,-3.3888855,-9.955414
3187585918960,0.67626953,-3.141327,-9.634064
3187585918966,0.5620117,-2.8104553,-10.017303
3187585918970,0.15258789,-2.6128845,-9.836395
3187585918975,0.5858154,-2.0415955,-9.983978
3187585918980,0.4977417,-1.8725891,-10.924225
3187585918985,0.42633057,-1.5726624,-10.57431
3187585918990,0.45489502,-1.6131287,-10.298187
3187585918995,0.41918945,-1.4726868,-10.614777
3187585919000,0.2835083,-1.0513611,-9.960175
3187585919005,0.22399902,-0.72525024,-10.162506
3187585919010,0.5072632,-0.57528687,-9.969696
3187585919015,0.94763184,-0.28012085,-10.717133
3187585919019,1.2166138,-0.15872192,-8.381989
3187585919025,1.2023315,-0.16824341,-9.236542
3187585919030,1.19281,-0.47531128,-9.948273
3187585919035,1.2523193,-0.71572876,-9.695953
3187585919040,1.2594604,-0.7062073,-10.138702
3187585919045,1.2832642,-0.94662476,-10.598114
3187585919049,1.1713867,-0.78237915,-8.608124
3187585919054,1.2285156,-0.5300598,-8.781891
3187585919059,1.1785278,-0.7966614,-11.236053
3187585919064,1.1618652,-0.95614624,-12.676178
3187585919070,1.1904297,-0.27059937,-8.65097
3187585919075,1.1499634,-0.48721313,-10.529083
3187585919079,0.97143555,-0.7228699,-10.095856
3187585919085,0.7119751,-1.0156555,-10.019684
3187585919089,0.50964355,-1.1560974,-9.367462
3187585919094,0.34777832,-1.1394348,-8.108246
3187585919099,0.08831787,-1.8583069,-10.657623
3187585919104,-0.28302002,-1.820221,-10.022064
3187585919109,-0.366333,-1.1894226,-9.729279
3187585919114,-0.30682373,-0.69192505,-9.488861
3187585919119,-0.47106934,-0.51815796,-10.355316
3187585919124,-0.5377197,-0.4086609,-9.267487
3187585919129,-0.36395264,-0.73239136,-10.131561
3187585919134,-0.07116699,-0.813324,-10.202972
3187585919139,0.028808594,-1.0965881,-10.241058
3187585919144,0.43823242,-1.1608582,-10.643341
3187585919149,0.5405884,-1.1679993,-9.717377
3187585919154,-1.1994629,-3.7816467,-10.093475
3187585919159,-0.7352905,-3.0722961,-8.639069
3187585919164,0.08117676,-2.8937683,-10.367218
3187585919169,-0.6043701,-4.072052,-8.855682
3187585919174,-2.8823853,-8.709015,-12.785675
3187585919179,19.57106,-6.6333313,-13.911591
3187585919183,-0.22827148,-2.8247375,-15.001801
3187585919188,5.0775757,-4.809967,-4.966156
3187585919193,0.5881958,-3.065155,-11.926361
3187585919198,4.411072,-2.8771057,-9.80069
3187585919203,3.8826294,-0.49673462,-10.233917
3187585919208,-0.07116699,0.40304565,-10.055389
3187585919213,0.26208496,-0.027801514,-10.141083
3187585919218,0.18353271,-0.011138916,-9.729279
3187585919223,0.2668457,-0.006378174,-9.774506
3187585919228,0.08831787,0.031707764,-10.117279
3187585919233,0.12640381,0.019805908,-10.053009
3187585919238,0.24066162,0.019805908,-10.074432
3187585919243,0.16925049,-0.008758545,-10.091095
3187585919248,0.19543457,-0.046844482,-9.819733
3187585919253,0.15020752,-0.058746338,-9.924469
3187585919258,0.25256348,-0.073028564,-9.705475
3187585919263,0.28588867,-0.12539673,-9.972076
3187585919268,0.16448975,-0.058746338,-9.843536
3187585919273,0.095458984,-0.06588745,-9.888763
3187585919278,0.1430664,7.6293945E-4,-10.079193
3187585919283,0.12640381,-0.049224854,-10.102997
3187585919288,0.22399902,-0.056365967,-10.164886
3187585919293,0.17877197,-0.08493042,-10.138702
3187585919298,0.16925049,-0.015899658,-10.003021
3187585919302,0.23352051,-0.06112671,-9.960175
3187585919307,0.17163086,-0.027801514,-9.953033
3187585919313,0.22875977,-0.046844482,-9.936371
3187585919317,0.18115234,-0.01828003,-9.983978
3187585919323,0.22161865,-0.023040771,-10.074432
3187585919327,0.25256348,-0.025421143,-10.131561
3187585919332,0.2597046,-0.027801514,-10.045868
3187585919337,0.2097168,-0.03970337,-10.05777
3187585919342,0.2263794,-0.049224854,-9.955414
3187585919347,0.18591309,0.010284424,-9.884003
3187585919352,0.2263794,-0.032562256,-9.836395
3187585919357,0.22875977,-0.08016968,-9.848297
3187585919362,0.15020752,-0.096832275,-9.979218
3187585919367,0.16448975,-0.025421143,-10.038727
3187585919372,0.18829346,-0.08255005,-10.136322
3187585919377,0.16448975,-0.011138916,-10.110138
3187585919382,0.21447754,-0.03970337,-10.098236
3187585919387,0.15258789,-0.046844482,-10.041107
3187585919392,0.15734863,-0.056365967,-9.99588
3187585919397,0.15734863,-0.008758545,-9.92923
3187585919402,0.21923828,-0.025421143,-9.93161
3187585919407,0.2597046,-0.053985596,-9.983978
3187585919412,0.25256348,-0.053985596,-10.076813
3187585919416,0.23352051,-0.03970337,-10.041107
3187585919421,0.25494385,-0.07064819,-10.0815735
3187585919426,0.21923828,-0.07064819,-10.033966
3187585919431,0.21685791,-0.037322998,-9.974457
3187585919436,0.19543457,-0.032562256,-9.93161
3187585919442,0.17877197,-0.049224854,-9.9149475
3187585919446,0.13354492,-0.049224854,-9.986359
3187585919451,0.17163086,0.0055236816,-9.964935
3187585919456,0.1763916,-0.027801514,-9.955414
3187585919461,0.17163086,-0.0206604,-10.031586
3187585919466,0.16687012,-0.023040771,-10.079193
3187585919471,0.17163086,-0.051605225,-10.053009
3187585919476,0.16687012,-0.07778931,-10.012543
3187585919481,0.19781494,-0.07064819,-10.005402
3187585919486,0.18591309,-0.07778931,-9.938751
3187585919491,0.21923828,-0.07778931,-9.943512
3187585919496,0.2263794,-0.027801514,-9.991119
3187585919501,0.17877197,-0.030181885,-10.064911
3187585919506,0.2097168,-0.0206604,-10.031586
3187585919511,0.2263794,-0.025421143,-9.983978
3187585919516,0.20257568,-0.04208374,-10.05777
3187585919521,0.20495605,-0.032562256,-10.0625305
3187585919526,0.21923828,-0.030181885,-10.012543
3187585919531,0.19067383,-0.030181885,-9.941132
3187585919536,0.18591309,-0.058746338,-9.983978
3187585919541,0.17401123,-0.032562256,-9.988739
3187585919545,0.19781494,-0.115875244,-10.003021
3187585919550,0.18829346,-0.037322998,-10.06015
3187585919555,0.17401123,-0.08016968,-10.076813
3187585919561,0.17877197,-0.051605225,-9.9982605
3187585919566,0.18591309,-0.058746338,-9.974457
3187585919570,0.15020752,-0.04446411,-10.031586
3187585919575,0.1763916,-0.0206604,-9.950653
3187585919581,0.21685791,-0.04446411,-9.976837
3187585919586,0.20019531,-0.034942627,-9.953033
3187585919590,0.19781494,0.0055236816,-10.019684
3187585919595,0.23352051,-0.034942627,-10.033966
3187585919600,0.2597046,-0.023040771,-10.055389
3187585919605,0.22161865,-0.027801514,-10.007782
3187585919610,0.23828125,-0.07064819,-10.053009
3187585919615,0.2263794,-0.06588745,-9.979218
3187585919620,0.20733643,-0.049224854,-10.067291
3187585919625,0.1763916,-0.008758545,-10.017303
3187585919630,0.20733643,-0.04208374,-9.972076
3187585919635,0.1763916,-0.096832275,-9.969696
3187585919640,0.17401123,-0.10159302,-9.981598
3187585919645,0.13830566,-0.051605225,-9.910187
3187585919650,0.13116455,-0.034942627,-9.986359
3187585919655,0.20495605,-0.08969116,-10.131561
3187585919659,0.19543457,7.6293945E-4,-10.043488
3187585919665,0.16448975,-0.056365967,-9.938751
3187585919670,0.19781494,-0.06826782,-10.033966
3187585919674,0.20019531,-0.07064819,-9.926849
3187585919680,0.18115234,-0.053985596,-9.988739
3187585919684,0.26208496,-0.06350708,-10.000641
3187585919690,0.23114014,-0.053985596,-10.0815735
3187585919695,0.24542236,-0.058746338,-10.143463
3187585919699,0.23352051,0.015045166,-10.12442
3187585919704,0.21447754,-0.006378174,-10.148224
3187585919709,0.23352051,-0.015899658,-10.141083
3187585919714,0.20257568,7.6293945E-4,-10.005402
3187585919719,0.2501831,-0.049224854,-10.010162
3187585919724,0.19543457,-0.06112671,-10.019684
3187585919729,0.20733643,-0.0206604,-10.029205
3187585919734,0.19067383,-0.03970337,-9.972076
3187585919739,0.12640381,-0.058746338,-9.9935
3187585919744,0.09307861,-0.08255005,-10.102997
3187585919749,0.08831787,-0.08969116,-10.045868
3187585919754,0.13830566,-0.094451904,-9.964935
3187585919759,0.13116455,-0.094451904,-10.048248
3187585919764,0.13830566,-0.06588745,-9.9149475
3187585919769,0.16210938,-0.025421143,-9.905426
3187585919773,0.21685791,-0.032562256,-9.912567
3187585919778,0.29541016,-0.07064819,-9.905426
3187585919784,0.30969238,-0.032562256,-9.986359
3187585919789,0.307312,0.010284424,-9.950653
3187585919794,0.3001709,-0.06112671,-10.045868
3187585919798,0.2763672,-0.04208374,-10.041107
3187585919803,0.24780273,-0.013519287,-9.974457
3187585919809,0.307312,0.019805908,-9.957794
3187585919814,0.08355713,-0.08255005,-9.962555
3187585919818,0.12878418,0.10787964,-9.979218
3187585919823,0.2097168,-0.24203491,-9.891144
3187585919829,-0.24731445,0.27926636,-9.981598
3187585919833,0.602478,-0.5800476,-10.152985
3187585919838,-0.67578125,0.7696228,-10.036346
3187585919843,0.70007324,-1.6369324,-10.138702
