time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187677336827,0.13830566,0.04837036,10.97757
3187677336832,0.10736084,0.010284424,11.127533
3187677336838,0.074035645,-0.027801514,11.215607
3187677336842,-0.011657715,-0.006378174,10.1753845
3187677336847,-0.13781738,0.034088135,8.592438
3187677336853,-0.18066406,0.019805908,7.716461
3187677336857,-0.040222168,-0.0016174316,9.244659
3187677336862,0.10736084,-0.04208374,10.33963
3187677336867,0.17163086,-0.056365967,10.541962
3187677336873,0.19543457,-0.10635376,10.325348
3187677336877,0.06689453,-0.08969116,9.654083
3187677336882,0.074035645,-0.09207153,8.875702
3187677336887,0.06689453,-0.08493042,9.037567
3187677336892,0.10736084,-0.12539673,9.708832
3187677336897,0.08355713,-0.096832275,9.873077
3187677336902,0.059753418,-0.1111145,9.687408
3187677336907,-0.04260254,-0.0206604,9.368439
3187677336912,-0.078308105,0.060272217,9.073273
3187677336917,-0.15686035,0.08169556,9.147064
3187677336922,-0.08544922,0.09121704,9.406525
3187677336927,-0.014038086,0.32211304,9.673126
3187677336932,0.14544678,0.43875122,9.57077
3187677336937,-0.11401367,0.27926636,9.258942
3187677336942,-0.19732666,0.16976929,9.294647
3187677336947,-0.06640625,-0.013519287,9.168488
3187677336952,-0.15209961,-0.12301636,9.335114
3187677336957,-0.20922852,-0.268219,9.463654
3187677336962,-0.14733887,-0.29440308,9.654083
3187677336967,-0.1116333,-0.26583862,9.727875
3187677336972,-0.018798828,-0.24203491,9.406525
3187677336977,0.14068604,-0.08493042,9.351776
3187677336982,0.2763672,0.10787964,9.704071
3187677336987,0.34301758,0.12454224,9.737396
3187677336992,0.30969238,0.16976929,9.601715
3187677336997,0.18829346,0.17453003,9.544586
3187677337002,0.11212158,0.034088135,9.527924
3187677337007,-0.118774414,-0.037322998,9.627899
3187677337012,-0.18066406,-0.13015747,9.577911
3187677337017,-0.302063,-0.12063599,9.406525
3187677337022,-0.2520752,-0.07064819,9.289886
3187677337027,-0.056884766,-0.053985596,9.561249
3187677337032,-0.123535156,-0.0206604,9.399384
3187677337037,-0.04736328,0.04837036,9.446991
3187677337041,2.4414063E-4,0.14596558,9.31369
3187677337047,0.10021973,0.13644409,9.494598
3187677337052,0.12164307,0.13882446,9.373199
3187677337057,0.095458984,0.02456665,9.156586
3187677337062,0.074035645,-0.07064819,9.673126
3187677337067,-0.018798828,-0.115875244,9.744537
3187677337072,-0.04498291,-0.21109009,9.5660095
3187677337077,-0.061645508,-0.21109009,9.408905
3187677337082,-0.0045166016,-0.14682007,9.677887
3187677337087,-0.014038086,-0.04208374,9.69693
3187677337092,-0.0045166016,0.06265259,9.492218
3187677337097,0.028808594,0.100738525,9.470795
3187677337102,0.04071045,0.119781494,9.608856
3187677337106,-0.033081055,0.17929077,9.556488
3187677337112,-0.06878662,0.098358154,9.489838
3187677337117,-0.08068848,0.02218628,9.430328
3187677337121,-0.0949707,0.04598999,9.494598
3187677337127,-0.06402588,-0.037322998,9.385101
3187677337132,-0.12591553,-0.073028564,9.280365
3187677337137,-0.1282959,-0.11349487,9.227997
3187677337142,0.27398682,0.21737671,8.171112
3187677337147,0.06689453,-0.12539673,10.903778
3187677337152,-0.1116333,-0.008758545,9.213715
3187677337157,0.059753418,0.015045166,9.316071
3187677337161,0.16687012,0.09121704,9.837372
3187677337167,0.074035645,-0.013519287,9.9635315
3187677337172,-0.018798828,-0.08731079,9.768341
3187677337176,-0.049743652,-0.11349487,8.728119
3187677337182,-0.02355957,-0.09921265,10.049225
3187677337186,-0.011657715,-0.015899658,9.813568
3187677337191,-0.025939941,-0.06350708,9.532684
3187677337196,-0.08782959,-0.096832275,9.475555
3187677337201,-0.0211792,0.015045166,9.508881
3187677337207,-0.014038086,0.06741333,9.454132
3187677337211,-0.0211792,0.16262817,8.785248
3187677337217,-0.0068969727,0.07455444,8.60672
3187677337222,0.0026245117,0.026947021,8.80191
3187677337226,0.026428223,0.07217407,9.073273
3187677337232,0.059753418,-0.07064819,9.385101
3187677337237,0.007385254,-0.10635376,9.37796
3187677337241,0.024047852,-0.051605225,9.782623
3187677337247,-0.011657715,-0.08493042,9.044708
3187677337252,-0.097351074,0.119781494,10.199188
3187677337256,1.4475098,2.0002747,11.253693
3187677337261,-0.45202637,1.495636,8.2211
3187677337266,0.19067383,2.1097717,10.322968
3187677337272,0.6786499,2.778656,9.906403
3187677337277,0.28826904,2.2192688,9.330353
3187677337281,-0.92333984,1.4289856,9.801666
3187677337287,-1.9540405,0.636322,10.08017
3187677337292,-1.4470215,-3.0175476,9.563629
3187677337296,-0.38061523,-5.476471,9.539825
3187677337302,3.675537,-4.5576477,8.825714
3187677337306,0.095458984,-2.0154114,8.939972
3187677337311,0.40490723,1.1338196,9.189911
3187677337316,-0.6876831,0.28878784,9.896881
3187677337321,0.07165527,0.057891846,9.1232605
3187677337326,-0.0021362305,-0.11349487,10.1111145
3187677337331,-0.11401367,-0.22061157,9.620758
3187677337337,0.033569336,-0.12063599,9.43985
3187677337342,-0.06640625,-0.12301636,9.620758
3187677337346,-0.09020996,-0.2182312,9.744537
3187677337352,0.01928711,-0.22299194,9.544586
3187677337356,-0.016418457,-0.33963013,9.5065
3187677337362,0.04071045,-0.37295532,9.844513
3187677337367,-0.030700684,-0.2753601,9.756439
3187677337371,-0.6972046,-1.7773743,9.318451
3187677337377,0.38824463,0.0031433105,9.644562
3187677337382,0.09069824,0.02456665,9.765961
3187677337386,0.09069824,0.060272217,9.7326355
3187677337391,0.035949707,-0.075408936,9.920685
3187677337396,0.14068604,-0.18252563,9.858795
3187677337401,-0.028320313,-0.28250122,9.787384
3187677337406,-0.22351074,-0.38723755,9.806427
3187677337412,-0.118774414,-0.7062073,9.884979
3187677337416,-0.2687378,-1.0846863,9.989716
3187677337422,-0.17590332,-1.2655945,9.930206
3187677337426,-0.3758545,-1.7297668,9.913544
3187677337432,-0.06640625,-2.0677795,9.95163
3187677337436,-0.79241943,-3.1960754,9.711212
3187677337441,-1.2756348,-4.181549,9.530304
3187677337447,0.15734863,-2.9389954,9.901642
3187677337451,0.095458984,-2.2486877,9.894501
3187677337456,0.3334961,-2.0558777,9.82547
3187677337461,-0.10925293,-2.4795837,9.608856
3187677337466,-0.22589111,-2.3105774,9.575531
3187677337471,0.22875977,-1.9987488,9.492218
3187677337476,0.116882324,-2.52005,9.351776
3187677337482,-0.31396484,-3.0984802,9.218475
3187677337486,0.2097168,-3.2079773,9.239899
3187677337491,0.4810791,-3.5602722,9.125641
3187677337496,-0.14971924,-4.4933777,8.954254
3187677337501,0.12640381,-4.752838,9.31369
3187677337506,-0.8709717,-5.624054,8.456757
3187677337511,0.050231934,-5.3836365,9.618378
3187677337516,-1.0709229,-5.926361,7.509369
3187677337521,-1.5898438,-6.221527,6.1858826
3187677337526,0.18829346,-5.316986,7.5522156
3187677337531,1.6879272,-4.37912,9.227997
3187677337536,2.1949463,-3.7245178,9.380341
3187677337541,3.199463,-2.4248352,8.15921
3187677337546,2.7424316,-2.1201477,8.859039
3187677337551,1.8616943,-2.6914368,9.006622
3187677337556,1.2666016,-3.4269714,8.699554
3187677337561,0.8119507,-4.2601013,7.9735413
3187677337566,0.44299316,-5.097992,7.4498596
3187677337571,0.29779053,-5.881134,7.383209
3187677337576,-0.035461426,-6.600006,6.9880676
3187677337581,-0.10449219,-6.830902,6.7833557
3187677337586,-0.40441895,-7.002289,6.895233
3187677337591,-0.040222168,-6.8475647,6.7809753
3187677337596,0.79052734,-6.747589,6.952362
3187677337601,1.1547241,-6.811859,6.7381287
3187677337606,0.8452759,-7.2070007,6.4548645
3187677337611,0.6310425,-7.3022156,6.5381775
3187677337616,0.5453491,-7.280792,6.707184
3187677337621,0.57629395,-7.216522,6.9737854
3187677337626,0.77386475,-7.8996887,6.157318
3187677337631,0.7524414,-9.225555,5.309906
3187677337636,0.43347168,-8.042511,6.247772
3187677337641,0.26446533,-8.113922,5.805023
3187677337645,0.17163086,-8.052032,6.0621033
3187677337651,-0.061645508,-8.182953,6.271576
3187677337656,-0.14019775,-7.8806458,6.433441
3187677337661,-0.36157227,-7.5188293,6.8714294
3187677337666,-0.4996338,-7.387909,6.5691223
3187677337671,-0.47583008,-7.447418,5.2051697
3187677337675,-0.35205078,-7.6354675,3.5555725
3187677337680,-0.23303223,-8.009186,1.9797668
3187677337686,-0.099731445,-8.473358,0.5896301
3187677337691,-0.07116699,-8.80661,0.2539978
3187677337696,-0.0045166016,-9.0208435,0.23257446
3187677337701,0.0026245117,-9.3993225,0.6919861
3187677337706,0.116882324,-9.332672,0.7991028
3187677337711,0.08117676,-9.763519,1.3108826
3187677337716,0.15734863,-9.680206,1.9345398
3187677337721,0.18591309,-9.8611145,2.0487976
3187677337726,0.20733643,-9.813507,1.8774109
3187677337730,0.10498047,-9.658783,1.4322815
3187677337736,-0.04736328,-9.413605,1.2323303
3187677337740,-0.22351074,-9.154144,1.0204773
3187677337746,-0.34729004,-8.985138,0.6086731
3187677337751,-0.45202637,-8.911346,-0.1244812
3187677337756,-0.4734497,-9.085114,-0.7362366
3187677337760,-0.6472168,-9.658783,-1.1051941
3187677337766,-0.5401001,-9.684967,-1.3694153
3187677337771,-0.5162964,-9.720673,-1.4693909
3187677337775,-0.47106934,-9.651642,-1.540802
3187677337781,-0.2854004,-8.473358,-1.5289001
3187677337785,-0.2854004,-8.504303,-1.6741028
3187677337790,-0.23065186,-8.594757,-1.624115
3187677337796,-0.17828369,-8.618561,-1.8597717
3187677337800,-0.040222168,-8.709015,-2.4310608
3187677337806,0.12640381,-8.73996,-3.13089
3187677337810,0.2501831,-8.7066345,-3.9544983
3187677337815,0.3001709,-8.751862,-4.516266
3187677337820,0.23352051,-8.647125,-4.323456
3187677337825,0.097839355,-8.325775,-4.4305725
3187677337830,0.10736084,-8.313873,-4.7781067
3187677337835,0.17163086,-8.118683,-5.1089783
3187677337840,0.20257568,-7.8211365,-5.5326843
3187677337845,0.3977661,-7.735443,-5.9325867
3187677337851,0.538208,-7.595001,-6.5205383
3187677337855,0.69055176,-7.5830994,-6.8180847
3187677337860,0.7119751,-7.483124,-6.756195
3187677337866,0.49298096,-7.4426575,-6.4586487
3187677337870,0.31921387,-7.273651,-6.120636
3187677337875,0.2097168,-7.130829,-6.075409
3187677337880,0.21209717,-6.8832703,-6.313446
3187677337885,0.2668457,-6.733307,-6.665741
3187677337890,0.35968018,-6.523834,-6.987091
3187677337895,0.3834839,-6.285797,-7.2608337
3187677337900,0.42633057,-6.131073,-7.506012
3187677337906,0.4144287,-6.078705,-7.6559753
3187677337911,0.4239502,-5.9049377,-7.7773743
3187677337915,0.48583984,-5.7311707,-8.020172
3187677337920,0.51916504,-5.571686,-8.189178
3187677337925,0.538208,-5.386017,-8.26535
3187677337930,0.6524658,-5.0051575,-8.477203
3187677337935,0.5739136,-4.4481506,-8.812836
3187677337940,0.42633057,-4.2101135,-8.950897
3187677337945,0.39300537,-4.1958313,-9.053253
3187677337950,0.29541016,-4.0292053,-9.048492
3187677337955,0.24780273,-3.9339905,-9.284149
3187677337960,0.23352051,-3.7364197,-9.400787
3187677337965,0.2835083,-3.6388245,-9.467438
3187677337970,0.31445313,-3.5102844,-9.407928
3187677337975,0.30969238,-3.424591,-9.426971
3187677337981,0.37872314,-3.3127136,-9.429352
3187677337985,0.3739624,-3.1817932,-9.488861
3187677337990,0.43823242,-2.9794617,-9.603119
3187677337995,0.42633057,-2.8509216,-9.605499
3187677338001,0.47631836,-2.6557312,-9.669769
3187677338005,0.5239258,-2.5343323,-9.762604
3187677338010,0.47631836,-2.3677063,-9.788788
3187677338016,0.5144043,-2.1772766,-9.876862
3187677338021,0.53582764,-2.0082703,-9.860199
3187677338025,0.704834,-1.9440002,-9.862579
3187677338030,0.69055176,-1.7226257,-9.729279
3187677338035,0.6786499,-1.4964905,-9.795929
3187677338040,0.69055176,-1.2346497,-9.812592
3187677338045,0.73101807,-0.74905396,-9.884003
3187677338050,0.6358032,-0.35629272,-9.974457
3187677338055,0.41918945,-0.26345825,-10.05777
3187677338060,0.1930542,-0.3824768,-10.464813
3187677338065,-0.07354736,-0.6871643,-10.707611
3187677338070,0.39300537,-0.813324,-17.591644
3187677338075,-1.8397827,-0.40628052,-8.282013
3187677338080,-0.15447998,0.97195435,-8.0225525
3187677338085,-0.18780518,1.514679,-11.121796
3187677338090,-0.21875,1.2742615,-10.003021
3187677338095,-0.3258667,1.3194885,-9.455536
3187677338100,-0.27349854,1.2218933,-10.398163
3187677338105,7.1413574,-0.049224854,-19.619125
3187677338110,-2.3015747,-4.0030212,-4.806671
3187677338115,0.7024536,-4.174408,-6.3229675
3187677338120,1.4951172,-2.629547,-12.597626
3187677338125,0.769104,-2.5367126,-10.529083
3187677338130,-0.06402588,-1.7392883,-6.870453
3187677338135,-0.60198975,0.35305786,-10.719513
3187677338140,-0.5639038,1.7479553,-11.843048
3187677338145,-0.14733887,1.9336243,-9.550751
3187677338150,0.25256348,1.5027771,-9.496002
3187677338155,0.5953369,1.1242981,-9.950653
3187677338159,0.15734863,-0.3824768,-10.212494
3187677338165,0.2597046,0.057891846,-10.469574
3187677338169,0.2097168,-0.011138916,-10.593353
3187677338174,0.1763916,0.13406372,-10.233917
3187677338180,0.12878418,0.079315186,-9.86734
3187677338185,0.116882324,-0.12301636,-9.557892
3187677338190,-0.07354736,0.12930298,-9.3888855
3187677338195,0.04547119,0.18881226,-9.786407
3187677338200,-0.0068969727,0.20309448,-9.936371
3187677338204,0.01928711,0.21499634,-10.038727
3187677338210,-0.0021362305,0.3006897,-10.326752
3187677338215,0.116882324,0.3578186,-10.429108
3187677338220,0.7929077,0.7029724,-10.193451
3187677338225,0.30969238,0.6125183,-9.269867
3187677338230,0.31445313,0.65774536,-6.684784
3187677338234,-1.0875854,-1.1775208,-9.845917
3187677338240,-0.1449585,-2.7533264,-12.640472
3187677338245,2.3330078,0.4815979,-11.431244
3187677338250,-0.14733887,0.1269226,-8.800934
3187677338255,0.40014648,0.09121704,-10.798065
3187677338259,0.33825684,0.0864563,-10.519562
3187677338265,0.21209717,0.06741333,-10.283905
3187677338270,0.17163086,0.015045166,-9.8506775
3187677338275,0.10021973,0.02218628,-9.643585
3187677338279,0.04071045,-0.013519287,-9.6197815
3187677338284,0.06213379,-0.046844482,-9.784027
3187677338290,0.06451416,-0.10159302,-9.941132
3187677338295,0.007385254,-0.058746338,-10.098236
3187677338300,0.033569336,-0.056365967,-10.18869
3187677338305,0.047851563,-0.008758545,-10.105377
3187677338309,0.10498047,-0.037322998,-9.99588
3187677338314,0.11212158,0.015045166,-9.86734
3187677338320,0.18353271,0.053131104,-9.8316345
3187677338324,0.20733643,0.08169556,-9.922089
3187677338330,0.2930298,0.07455444,-10.024445
3187677338335,0.33111572,0.076934814,-10.2291565
3187677338339,0.3239746,0.1031189,-10.321991
3187677338344,0.32635498,0.026947021,-10.295807
3187677338350,0.2763672,0.041229248,-10.050629
3187677338354,0.2668457,7.6293945E-4,-9.881622
3187677338360,0.20733643,0.017425537,-9.776886
3187677338365,0.14544678,-0.006378174,-9.784027
3187677338369,0.0859375,0.019805908,-9.795929
3187677338375,0.024047852,0.017425537,-9.948273
3187677338380,0.02166748,0.0055236816,-10.064911
3187677338385,0.005004883,-0.051605225,-10.114899
3187677338389,0.031188965,-0.056365967,-10.074432
3187677338395,0.06451416,-0.07064819,-9.917328
3187677338399,0.116882324,-0.034942627,-9.8506775
3187677338404,0.19543457,-0.027801514,-9.762604
3187677338410,0.24304199,0.015045166,-9.843536
3187677338415,0.27398682,-0.03970337,-9.960175
3187677338420,0.30493164,0.02218628,-10.100616
3187677338424,0.30969238,0.07217407,-10.200592
3187677338429,0.2930298,0.079315186,-10.18869
3187677338435,0.2930298,0.09597778,-10.119659
3187677338439,0.25494385,0.098358154,-10.012543
3187677338444,0.1930542,0.04360962,-9.92923
3187677338450,0.14782715,0.038848877,-9.872101
3187677338455,0.12878418,-0.0016174316,-9.9339905
3187677338459,0.09069824,-0.011138916,-9.92923
3187677338465,0.026428223,-0.07064819,-10.010162
3187677338469,0.031188965,-0.07064819,-10.117279
3187677338474,0.06689453,-0.06588745,-10.067291
3187677338480,0.09069824,-0.04446411,-9.986359
3187677338484,0.08117676,-0.032562256,-9.912567
3187677338490,0.12878418,-0.0039978027,-9.80545
3187677338494,0.13830566,0.0031433105,-9.836395
3187677338499,0.22875977,0.057891846,-9.900665
3187677338505,0.21923828,0.0697937,-10.022064
3187677338509,0.2763672,0.06265259,-10.169647
3187677338514,0.25256348,0.06265259,-10.210114
3187677338520,0.25494385,0.02456665,-10.1458435
3187677338524,0.28588867,0.012664795,-10.045868
3187677338529,0.19781494,-0.0039978027,-9.972076
3187677338534,0.19543457,-0.0016174316,-9.926849
3187677338539,0.16448975,0.010284424,-9.969696
3187677338545,0.095458984,-0.015899658,-9.945892
3187677338549,0.1026001,-0.013519287,-10.0625305
3187677338554,0.11450195,0.010284424,-10.112518
3187677338559,0.09307861,0.017425537,-10.05777
3187677338564,0.08831787,-0.023040771,-9.960175
3187677338569,0.0692749,-0.0016174316,-9.872101
3187677338574,0.13830566,0.0055236816,-9.845917
3187677338579,0.16210938,0.007904053,-9.793549
3187677338585,0.17163086,0.019805908,-9.86972
3187677338589,0.24066162,0.031707764,-9.983978
3187677338595,0.28112793,0.038848877,-10.0815735
3187677338599,0.25732422,0.057891846,-10.167267
3187677338604,0.2597046,0.04837036,-10.119659
3187677338609,0.19781494,0.02456665,-10.079193
3187677338614,0.1930542,0.050750732,-9.941132
3187677338619,0.16210938,0.029327393,-9.986359
3187677338624,0.13830566,-0.008758545,-9.893524
3187677338629,0.12402344,-0.0016174316,-10.033966
3187677338634,0.14544678,0.015045166,-10.072052
3187677338639,0.16687012,-0.032562256,-10.083954
3187677338644,0.095458984,-0.015899658,-10.050629
3187677338649,0.12164307,-0.013519287,-9.99588
3187677338654,0.13116455,0.017425537,-9.893524
3187677338659,0.10498047,0.0055236816,-9.881622
3187677338664,0.1763916,0.017425537,-9.836395
3187677338669,0.20019531,0.036468506,-9.862579
3187677338674,0.1930542,0.07455444,-9.955414
3187677338679,0.22399902,0.050750732,-9.976837
3187677338684,0.1930542,0.04837036,-10.107758
3187677338689,0.17401123,0.02218628,-10.074432
3187677338694,0.20495605,0.0031433105,-10.067291
3187677338699,0.17877197,-0.0206604,-9.991119
3187677338704,0.19781494,0.0055236816,-10.012543
3187677338709,0.14068604,-0.0039978027,-9.938751
3187677338714,0.16687012,-0.011138916,-10.024445
3187677338719,0.15496826,-0.023040771,-10.079193
3187677338724,0.16925049,-0.0016174316,-10.024445
3187677338729,0.16448975,0.02456665,-10.067291
3187677338734,0.1430664,-0.011138916,-10.017303
3187677338739,0.14782715,0.050750732,-9.960175
3187677338744,0.17401123,0.007904053,-9.879242
3187677338749,0.15496826,-0.032562256,-9.824493
3187677338754,0.16210938,0.02218628,-9.936371
3187677338759,0.16687012,0.041229248,-9.912567
3187677338764,0.17163086,0.029327393,-10.005402
3187677338769,0.1930542,7.6293945E-4,-10.043488
