time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187576603181,0.050231934,-0.06826782,9.95401
3187576603186,0.095458984,-0.013519287,9.901642
3187576603191,0.04547119,-0.046844482,9.5660095
3187576603196,-0.028320313,-0.06588745,9.320831
3187576603201,-0.02355957,-0.075408936,9.251801
3187576603206,-0.040222168,-0.06588745,9.516022
3187576603211,-0.011657715,-0.07064819,9.851654
3187576603216,0.076416016,-0.06826782,9.934967
3187576603221,0.04309082,-0.034942627,9.69693
3187576603226,0.097839355,0.02456665,9.5660095
3187576603231,0.11212158,0.06265259,9.363678
3187576603236,0.10498047,0.057891846,9.258942
3187576603242,0.09307861,0.017425537,9.132782
3187576603247,0.038330078,0.017425537,9.225616
3187576603251,0.012145996,-0.073028564,9.292267
3187576603256,-0.08306885,-0.06826782,9.335114
3187576603261,-0.18304443,-0.053985596,9.218475
3187576603266,-0.15209961,-0.096832275,9.289886
3187576603271,-0.15686035,-0.053985596,9.327972
3187576603276,-0.07116699,-0.025421143,9.339874
3187576603281,0.035949707,0.010284424,9.392242
3187576603286,0.0859375,0.08169556,9.5017395
3187576603291,0.1026001,0.09359741,9.482697
3187576603296,0.10021973,0.012664795,9.508881
3187576603301,0.08117676,0.019805908,9.604095
3187576603306,0.07165527,-0.07064819,9.708832
3187576603311,0.076416016,-0.09207153,9.782623
3187576603316,0.028808594,-0.11349487,9.782623
3187576603321,0.0026245117,-0.18728638,9.775482
3187576603326,0.0026245117,-0.16348267,9.63504
3187576603330,-0.009277344,-0.06350708,9.399384
3187576603336,0.5310669,0.7267761,9.013763
3187576603341,0.028808594,-0.15872192,9.31131
3187576603346,0.16210938,0.11502075,9.063751
3187576603351,0.0692749,0.050750732,9.435089
3187576603355,-0.06640625,0.034088135,9.035187
3187576603360,-0.099731445,0.038848877,9.05423
3187576603365,-0.13067627,0.012664795,9.297028
3187576603371,-0.09020996,0.017425537,9.523163
3187576603376,-0.04736328,0.029327393,9.592194
3187576603380,-0.011657715,0.012664795,9.69931
3187576603386,-0.016418457,-0.015899658,9.347015
3187576603390,-0.035461426,-0.006378174,9.3541565
3187576603396,2.4414063E-4,-0.011138916,9.456512
3187576603400,0.06451416,-0.037322998,9.701691
3187576603405,0.10974121,-0.015899658,9.754059
3187576603410,0.09069824,-0.011138916,9.773102
3187576603415,0.10736084,-0.051605225,9.639801
3187576603420,0.06451416,-0.073028564,9.477936
3187576603425,0.09069824,-0.051605225,9.399384
3187576603430,0.0692749,-0.06112671,9.382721
3187576603435,0.050231934,-0.06826782,9.416046
3187576603440,2.4414063E-4,-0.046844482,9.449371
3187576603445,-0.04260254,-0.06826782,9.416046
3187576603450,-0.059265137,-0.0016174316,9.416046
3187576603455,-0.016418457,-0.011138916,9.332733
3187576603460,-0.052124023,0.036468506,9.320831
3187576603465,-0.04736328,0.050750732,9.344635
3187576603470,-0.04498291,0.100738525,9.387482
3187576603475,-0.016418457,0.050750732,9.392242
3187576603479,0.01928711,0.04360962,9.487457
3187576603485,0.031188965,0.015045166,9.580292
3187576603490,0.016906738,-0.04208374,9.561249
3187576603495,0.026428223,-0.06588745,9.594574
3187576603499,0.028808594,-0.10397339,9.637421
3187576603504,0.074035645,-0.10635376,9.661224
3187576603509,0.035949707,-0.073028564,9.525543
3187576603515,0.06213379,-0.08731079,9.539825
3187576603520,0.074035645,-0.08731079,9.485077
3187576603524,0.07879639,-0.07064819,9.425568
3187576603530,0.0692749,-0.0039978027,9.43985
3187576603534,0.04071045,-0.058746338,9.468414
3187576603539,-0.016418457,-0.006378174,9.435089
3187576603545,-0.04260254,0.060272217,9.232758
3187576603549,-0.0211792,0.034088135,9.432709
3187576603554,-0.075927734,-0.0206604,9.218475
3187576603559,-0.27349854,0.11502075,8.816193
3187576603564,0.035949707,0.055511475,9.799286
3187576603570,-0.16638184,0.0864563,8.816193
3187576603575,-0.09259033,0.055511475,10.070648
3187576603580,-0.040222168,0.029327393,9.385101
3187576603584,0.050231934,0.019805908,9.901642
3187576603589,0.06213379,-0.008758545,9.806427
3187576603594,0.10736084,-0.094451904,9.573151
3187576603599,0.035949707,-0.094451904,9.854034
3187576603604,0.16687012,-0.073028564,9.242279
3187576603609,0.15258789,-0.12063599,9.454132
3187576603614,0.08831787,-0.03970337,9.613617
3187576603619,0.14068604,-0.094451904,9.63028
3187576603624,0.026428223,-0.10159302,9.6493225
3187576603629,0.08117676,-0.07064819,9.530304
3187576603634,0.0026245117,-0.053985596,9.580292
3187576603639,-0.02355957,-0.025421143,9.544586
3187576603644,2.4414063E-4,-0.499115,10.6562195
3187576603649,-0.5234375,-2.4438782,8.856659
3187576603654,-0.5996094,-1.7392883,7.8973694
3187576603659,-0.37109375,-1.3679504,8.102081
3187576603664,0.08117676,-0.5324402,8.461517
3187576603669,0.21923828,0.5220642,8.99472
3187576603674,0.32635498,0.64108276,9.992096
