time_tick,acc_X_value,acc_Y_value,acc_Z_value
3187656949773,-0.056884766,0.012664795,9.225616
3187656949778,-0.02355957,-0.0016174316,9.485077
3187656949783,-0.037841797,-0.013519287,9.63504
3187656949788,0.007385254,-0.006378174,9.773102
3187656949793,-0.02355957,-0.053985596,9.646942
3187656949798,-0.0068969727,-0.06350708,9.50412
3187656949803,-0.030700684,-0.03970337,9.394623
3187656949808,-0.018798828,-0.06826782,9.520782
3187656949813,-0.028320313,-0.046844482,9.425568
3187656949818,-0.0045166016,-0.115875244,9.387482
3187656949822,-0.033081055,-0.051605225,9.458893
3187656949828,0.005004883,-0.04446411,9.43985
3187656949833,-0.030700684,-0.030181885,9.430328
3187656949838,-0.009277344,-0.01828003,9.449371
3187656949842,0.035949707,7.6293945E-4,9.535065
3187656949847,0.028808594,-0.011138916,9.513641
3187656949852,0.02166748,0.010284424,9.582672
3187656949858,0.050231934,0.007904053,9.556488
3187656949862,0.033569336,0.019805908,9.551727
3187656949868,-0.0045166016,0.02218628,9.542206
3187656949872,0.014526367,-0.0206604,9.601715
3187656949877,2.4414063E-4,-0.058746338,9.63028
3187656949882,-0.0021362305,-0.073028564,9.546967
3187656949887,0.031188965,-0.10159302,9.50412
3187656949892,0.014526367,-0.06350708,9.549347
3187656949897,0.04547119,-0.049224854,9.513641
3187656949902,0.01928711,-0.096832275,9.463654
3187656949907,0.04071045,-0.08493042,9.370819
3187656949912,-0.028320313,-0.049224854,9.4374695
3187656949917,0.012145996,-0.056365967,9.454132
3187656949922,0.047851563,-0.032562256,9.563629
3187656949926,0.033569336,-0.023040771,9.661224
3187656949932,-0.018798828,-0.04208374,9.63028
3187656949937,-0.033081055,-0.037322998,9.63028
3187656949941,-0.056884766,-0.032562256,9.604095
3187656949947,-0.06402588,-0.013519287,9.554108
3187656949952,-0.049743652,-0.006378174,9.554108
3187656949957,0.02166748,0.0031433105,9.523163
3187656949962,0.01928711,-0.015899658,9.589813
3187656949967,0.052612305,7.6293945E-4,9.554108
3187656949972,0.035949707,-0.015899658,9.451752
3187656949976,0.033569336,0.0055236816,9.499359
3187656949981,0.04071045,0.031707764,9.425568
3187656949986,0.07165527,-0.006378174,9.37796
3187656949991,0.038330078,-0.04208374,9.3541565
3187656949997,2.4414063E-4,-0.073028564,9.31131
3187656950001,-0.040222168,-0.10397339,9.356537
3187656950006,-0.059265137,-0.115875244,9.411285
3187656950011,-0.10449219,-0.13015747,9.394623
3187656950016,-0.10925293,-0.08255005,9.473175
3187656950021,-0.07354736,-0.03970337,9.468414
3187656950026,-0.028320313,0.017425537,9.50412
3187656950031,-0.030700684,0.050750732,9.546967
3187656950036,0.04071045,-0.015899658,9.492218
3187656950041,0.08831787,0.04598999,9.549347
3187656950046,0.057373047,-0.011138916,9.527924
3187656950051,0.02166748,7.6293945E-4,9.596954
3187656950056,-0.0045166016,-0.051605225,9.613617
3187656950061,2.4414063E-4,-0.056365967,9.639801
3187656950066,-0.016418457,-0.14682007,9.556488
3187656950070,-0.018798828,-0.11349487,9.530304
3187656950076,-0.028320313,-0.13967896,9.494598
3187656950081,-0.011657715,-0.094451904,9.44223
3187656950086,0.031188965,-0.06826782,9.456512
3187656950090,-0.011657715,0.0031433105,9.473175
3187656950095,0.012145996,0.06265259,9.475555
3187656950100,0.057373047,0.060272217,9.480316
3187656950105,0.024047852,0.08169556,9.446991
3187656950111,-0.0021362305,0.06265259,9.537445
3187656950116,-0.06878662,0.057891846,9.485077
3187656950120,-0.056884766,0.010284424,9.544586
3187656950125,-0.07354736,-0.056365967,9.537445
3187656950130,-0.04260254,-0.06112671,9.5850525
3187656950135,-0.054504395,-0.14920044,9.435089
3187656950140,-0.018798828,-0.094451904,9.644562
3187656950145,0.04547119,-0.1111145,9.508881
3187656950150,0.074035645,-0.094451904,9.554108
3187656950155,0.08117676,-0.08016968,9.458893
3187656950160,0.08831787,-0.08255005,9.470795
3187656950165,0.10974121,-0.073028564,9.454132
3187656950170,0.005004883,-0.051605225,9.31369
3187656950174,-0.025939941,-0.0039978027,9.4184265
3187656950179,-0.056884766,-0.034942627,9.435089
3187656950184,-0.10211182,-0.0039978027,9.468414
3187656950189,-0.10449219,-0.032562256,9.416046
3187656950194,-0.07116699,-0.027801514,9.463654
3187656950199,-0.059265137,-0.008758545,9.427948
3187656950204,-0.02355957,0.036468506,9.446991
3187656950210,-0.009277344,0.07455444,9.558868
3187656950215,0.005004883,0.015045166,9.420807
3187656950220,0.026428223,-0.023040771,9.489838
3187656950225,0.031188965,-0.073028564,9.520782
3187656950229,0.031188965,-0.096832275,9.494598
3187656950234,0.04071045,-0.14682007,9.461273
3187656950239,0.031188965,-0.13967896,9.532684
3187656950244,0.014526367,-0.13015747,9.461273
3187656950249,-0.025939941,-0.1111145,9.556488
3187656950254,0.016906738,-0.08016968,9.5017395
3187656950258,-0.014038086,0.007904053,9.546967
3187656950264,-0.035461426,-0.015899658,9.477936
3187656950269,-0.0068969727,0.0697937,9.468414
3187656950274,-0.030700684,0.053131104,9.532684
3187656950279,-0.037841797,0.026947021,9.525543
3187656950284,-0.04498291,0.038848877,9.558868
3187656950289,-0.056884766,-0.025421143,9.527924
3187656950293,-0.078308105,-0.013519287,9.477936
3187656950299,-0.014038086,-0.046844482,9.496979
3187656950303,-0.04260254,-0.10635376,9.480316
3187656950308,2.4414063E-4,-0.115875244,9.411285
3187656950313,0.054992676,-0.13253784,9.44223
3187656950318,0.10736084,-0.12301636,9.527924
3187656950323,0.08831787,-0.08731079,9.532684
3187656950328,0.054992676,-0.0206604,9.523163
3187656950333,0.033569336,0.0055236816,9.5660095
3187656950338,0.04071045,0.012664795,9.473175
3187656950343,2.4414063E-4,0.019805908,9.539825
3187656950348,-0.033081055,0.036468506,9.539825
3187656950353,-0.025939941,-0.023040771,9.446991
3187656950358,-0.07354736,0.010284424,9.401764
3187656950363,-0.10449219,0.015045166,9.5850525
3187656950368,-0.099731445,-0.053985596,9.420807
3187656950373,-0.061645508,-0.032562256,9.37796
3187656950377,-0.011657715,-0.0016174316,9.516022
3187656950382,0.04309082,-0.08731079,9.494598
