time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.005997,-0.002993,0.029031,-9.815829
0.013862,0.029180,0.051178,-9.813435
0.023909,0.122857,0.076767,-9.795328
0.033677,0.158472,0.036812,-9.802212
0.043876,0.172838,-0.020800,-9.809544
0.053641,0.150690,-0.044145,-9.837677
0.063660,0.094275,-0.062102,-9.848002
0.073947,0.033819,-0.067938,-9.872843
0.083768,-0.003741,-0.047287,-9.869102
0.093986,-0.003591,0.015114,-9.833786
0.103725,0.013618,0.037560,-9.777371
0.113662,0.052824,0.079011,-9.794131
0.123637,0.106546,0.074373,-9.791138
0.133729,0.135726,0.061952,-9.768991
0.143925,0.156527,0.011672,-9.795927
0.153688,0.129890,-0.021100,-9.843064
0.163666,0.087691,-0.058361,-9.877931
0.173641,0.004489,-0.075420,-9.848152
0.182884,0.003442,-0.047586,-9.870748
0.193652,0.002544,-0.030228,-9.873442
0.203785,0.044294,0.016012,-9.832140
0.213899,0.042199,0.023793,-9.784853
0.223692,0.105349,0.070183,-9.763753
0.233782,0.144256,0.065843,-9.795478
0.243841,0.162512,0.056565,-9.768093
0.253749,0.155180,0.017059,-9.799219
0.263688,0.082004,-0.015563,-9.856083
0.273662,0.020501,-0.037411,-9.871496
0.283746,-0.024093,-0.074223,-9.871496
0.293939,-0.036363,-0.067938,-9.882869
0.303661,0.027235,-0.043097,-9.837378
0.313745,0.045342,0.022446,-9.815081
0.323710,0.080209,0.055966,-9.774977
0.333787,0.104600,0.074223,-9.754475
0.343679,0.168797,0.065095,-9.753428
0.353842,0.200821,0.044145,-9.796824
0.363651,0.135427,-0.004489,-9.848751
0.373685,0.052824,-0.046689,-9.854287
0.383735,-0.013618,-0.077515,-9.867905
0.393717,-0.042050,-0.048784,-9.876883
0.403670,-0.019304,-0.042349,-9.874489
0.413725,0.047437,-0.007632,-9.827801
0.424063,0.088289,0.040553,-9.810143
0.433755,0.118966,0.071080,-9.777520
0.443709,0.127346,0.076019,-9.775276
0.453624,0.151139,0.067339,-9.780813
0.463676,0.131536,0.015563,-9.815081
0.473956,0.105648,-0.037860,-9.852043
0.483737,0.021549,-0.051926,-9.863116
0.494142,-0.039506,-0.070332,-9.880924
0.503707,-0.039805,-0.034119,-9.869102
0.513531,0.002993,-0.038608,-9.839173
0.523946,0.079760,0.019005,-9.794879
0.533665,0.134529,0.061803,-9.792934
0.543905,0.136325,0.074373,-9.770338
0.553687,0.140365,0.056864,-9.773330
0.563826,0.134379,0.032473,-9.813435
0.573945,0.109090,-0.009278,-9.837527
0.583781,0.041750,-0.045192,-9.859076
0.593068,-0.021549,-0.070332,-9.858178
0.603659,-0.030826,-0.044893,-9.879128
0.613684,-0.031874,-0.025140,-9.834534
0.623925,0.038009,0.017059,-9.806252
0.633817,0.109838,0.032323,-9.817475
0.643638,0.179272,0.046389,-9.781860
0.653616,0.164308,0.045940,-9.778119
0.663642,0.118517,0.050579,-9.823611
0.673731,0.080358,-0.013468,-9.821366
0.683710,0.057613,-0.037111,-9.861919
0.693640,0.020351,-0.041750,-9.866408
0.703674,-0.008081,-0.052375,-9.867905
0.713667,0.004340,-0.045791,-9.848601
0.723742,0.023494,0.008979,-9.827352
0.733746,0.074522,0.036214,-9.806252
0.743746,0.132434,0.059857,-9.778867
0.753702,0.167151,0.057762,-9.801014
0.763623,0.143508,0.024541,-9.805803
0.773772,0.082004,0.014216,-9.830195
0.783700,0.045641,-0.026786,-9.819720
0.793703,0.006734,-0.039805,-9.859525
0.803646,0.022895,-0.040703,-9.856233
0.813815,0.014366,-0.030078,-9.856382
0.823854,0.016461,-0.021998,-9.832290
0.833675,0.034717,0.041601,-9.824059
0.843753,0.115973,0.045192,-9.795178
0.853599,0.156078,0.067938,-9.789193
0.863638,0.163560,0.030677,-9.790539
0.873772,0.125550,0.016461,-9.809095
0.883636,0.044145,-0.011672,-9.847254
0.893743,-0.001347,-0.020202,-9.827651
0.903701,0.024093,-0.048933,-9.873142
0.913750,0.007033,-0.047586,-9.871197
0.923676,0.032622,-0.020950,-9.833188
0.933672,0.088738,0.011074,-9.827052
0.943695,0.103254,0.023045,-9.799368
0.953636,0.130339,0.055368,-9.791587
0.963631,0.141113,0.052674,-9.786948
0.973617,0.123156,0.043696,-9.789492
0.983791,0.077964,0.008979,-9.809694
0.993638,0.027834,-0.011971,-9.840221
1.003635,-0.006285,-0.011074,-9.853539
1.013539,0.028432,0.007632,-9.822713
1.023695,0.064945,-0.021249,-9.873292
1.033711,0.058810,-0.021848,-9.817176
1.043641,0.079909,-0.007931,-9.809993
1.053759,0.121510,0.036064,-9.787247
1.073770,0.096520,0.015114,-9.815679
1.093626,0.014366,-0.021549,-9.839473
1.103697,0.011074,-0.025439,-9.863565
1.113647,0.044145,-0.037261,-9.859674
1.124044,0.070482,-0.029031,-9.829147
1.143629,0.138420,0.024841,-9.786798
1.153648,0.116721,0.042050,-9.805055
1.163579,0.081555,0.031724,-9.783357
1.173630,0.049233,0.027085,-9.790390
1.193745,0.049083,-0.023793,-9.859076
1.203665,0.023494,-0.029779,-9.853539
1.213669,0.033670,-0.038458,-9.863565
1.223904,0.069135,-0.033670,-9.844112
1.233693,0.087691,-0.012570,-9.812238
1.243797,0.119864,0.016910,-9.796824
1.253644,0.098166,0.058959,-9.795478
1.263767,0.086943,0.042648,-9.778867
1.273475,0.046539,0.049233,-9.800416
1.283713,0.042499,0.030826,-9.806551
1.293634,0.040853,-0.013169,-9.845159
1.303628,0.046539,-0.055218,-9.841418
1.313627,0.052974,-0.043097,-9.859375
1.323664,0.055667,-0.068387,-9.875537
1.333705,0.076318,-0.001496,-9.853389
1.343621,0.098914,0.002095,-9.807000
1.353638,0.124802,0.043247,-9.776024
1.363631,0.095472,0.071829,-9.786798
1.373617,0.054769,0.091731,-9.768692
1.383631,0.037411,0.054769,-9.802062
1.393611,0.036962,0.000299,-9.820318
