Accelerometer Z,Smoothed Acc Z,Intensity,
9.835697,9.826305,0.16693163,
9.835697,9.826305,,
9.835697,9.826305,,
10.079765,9.826305,,
9.64487,9.826305,,
9.939187,9.826305,,
9.865608,9.826305,,
9.628718,9.826305,,
10.060623,9.826305,,
9.64487,9.826305,,
9.877572,9.823135,,
9.875179,9.83154,,
9.58146,9.820503,,
10.036097,9.81805,,
9.650253,9.824062,,
9.81476,9.812607,,
9.946963,9.820473,,
9.591031,9.81814,,
10.06481,9.813055,,
9.717253,9.820264,,
9.772287,9.808538,,
10.003794,9.815897,,
9.61496,9.816914,,
10.030712,9.81138,,
9.765109,9.821939,,
9.710074,9.813115,,
10.022936,9.819037,,
9.582058,9.822687,,
9.958928,9.814491,,
9.789038,9.825737,,
9.643075,9.819516,,
10.022338,9.824003,,
9.601799,9.827442,,
9.925428,9.817602,,
9.861421,9.826216,,
9.638289,9.818858,,
10.065409,9.818798,,
9.664013,9.824121,,
9.900902,9.813833,,
9.942178,9.822178,,
9.647861,9.817452,,
10.093524,9.8161955,,
9.683753,9.823435,,
9.833903,9.813146,,
9.937392,9.821699,,
9.562916,9.82152,,
10.021739,9.81835,,
9.688539,9.826754,,
9.753145,9.817452,,
9.955936,9.823135,,
9.548559,9.822028,,
9.997213,9.814342,,
9.746565,9.822028,,
9.7196455,9.8117695,,
10.032507,9.817452,,
9.634701,9.820593,,
10.001999,9.812666,,
9.8321085,9.821042,,
9.71486,9.812936,,
10.055838,9.81814,,
9.625728,9.824422,,
9.939785,9.816495,,
9.837492,9.826754,,
9.628718,9.820803,,
10.051051,9.821939,,
9.625728,9.827742,,
9.8632145,9.816974,,
9.856036,9.825079,,
9.591031,9.819158,,
10.060024,9.817183,,
9.674182,9.823225,,
9.838689,9.811261,,
9.95175,9.819815,,
9.600603,9.816076,,
10.055239,9.81147,,
9.750752,9.819635,,
9.786645,9.809347,,
9.994222,9.818379,,
9.5964155,9.819366,,
10.0163555,9.814282,,
9.746565,9.824092,,
9.700503,9.815508,,
10.008579,9.822597,,
9.553943,9.825528,,
9.958928,9.817332,,
9.789038,9.824989,,
9.657433,9.815658,,
10.036695,9.818948,,
9.610772,9.822357,,
9.958329,9.81183,,
9.870394,9.820653,,
9.667004,9.814462,,
10.093524,9.815837,,
9.659226,9.822567,,
9.891331,9.811799,,
9.9038925,9.82158,,
9.600004,9.81829,,
10.060024,9.817991,,
9.664611,9.826426,,
9.805787,9.81473,,
9.923036,9.823763,,
9.576674,9.82167,,
10.036097,9.817093,,
9.688539,9.825258,,
9.743574,9.814521,,
9.984651,9.822119,,
9.59163,9.822657,,
10.030712,9.81473,,
9.779466,9.822866,,
9.724431,9.814013,,
10.051051,9.820173,,
9.625129,9.822148,,
10.001999,9.813504,,
9.822537,9.824271,,
9.676575,9.817602,,
10.055838,9.822088,,
9.610772,9.827143,,
9.9015,9.817781,,
9.827323,9.826635,,
9.628718,9.820443,,
10.046266,9.821101,,
9.616156,9.826426,,
9.8632145,9.81491,,
9.9038925,9.823015,,
9.610174,9.817332,,
10.074382,9.813952,,
9.692726,9.820712,,
9.843474,9.809945,,
9.956535,9.81805,,
9.600603,9.815718,,
10.064212,9.812307,,
9.731609,9.821909,,
9.771689,9.811859,,
9.984651,9.818977,,
9.562916,9.819964,,
9.98824,9.813234,,
9.745967,9.821878,,
9.686146,9.812098,,
9.989436,9.817781,,
9.582058,9.820473,,
9.97807,9.810663,,
9.80818,9.818319,,
9.662218,9.809766,,
10.046266,9.812098,,
9.629914,9.816943,,
9.939785,9.807821,,
9.865608,9.816435,,
9.647861,9.811201,,
10.070194,9.814013,,
9.654441,9.820533,,
9.868001,9.810931,,
9.88475,9.819994,,
9.600603,9.816226,,
10.031311,9.815687,,
9.659825,9.822687,,
9.805787,9.813325,,
9.91825,9.822388,,
9.58146,9.82149,,
10.045668,9.817602,,
9.712467,9.824331,,
9.786046,9.813325,,
9.989436,9.819994,,
9.5868435,9.820055,,
10.035499,9.815239,,
9.769895,9.823374,,
9.752547,9.815,,
10.0468645,9.821878,,
9.629914,9.82481,,
9.992428,9.8168545,,
9.789038,9.825707,,
9.647861,9.81808,,
10.01815,9.822806,,
9.601799,9.8281,,
9.934999,9.819217,,
9.822537,9.82831,,
9.638289,9.82167,,
10.055838,9.821371,,
9.640084,9.824541,,
9.886545,9.812816,,
9.889536,9.819994,,
9.633504,9.8152685,,
10.083953,9.814013,,
9.692726,9.8200245,,
9.857831,9.807582,,
9.95175,9.817842,,
9.619745,9.816465,,
10.040882,9.814252,,
9.693324,9.823614,,
9.757931,9.814312,,
9.932607,9.822866,,
9.553345,9.822926,,
9.993026,9.816914,,
9.722038,9.825349,,
9.686146,9.815329,,
10.027721,9.821251,,
9.610772,9.82179,,
10.01157,9.812906,,
9.827323,9.822238,,
9.700503,9.813415,,
10.060623,9.819067,,
9.634701,9.823435,,
9.963714,9.814791,,
9.861421,9.82484,,
9.657433,9.820562,,
